V1	size	type
36762.4861690988	1k	unweighted
36817.0710396295	1k	unweighted
36797.6192132441	1k	unweighted
36859.7969989058	1k	unweighted
36859.7386861977	1k	unweighted
36908.5153504505	1k	unweighted
36786.9928977051	1k	unweighted
36760.5988230843	1k	unweighted
36832.8341835823	1k	unweighted
36898.2984324885	1k	unweighted
36887.7794343247	1k	unweighted
36809.6652294957	1k	unweighted
36935.7544013317	1k	unweighted
36909.3820867036	1k	unweighted
36859.9700099329	1k	unweighted
36787.0111771718	1k	unweighted
36851.171379118	1k	unweighted
36950.6179297066	1k	unweighted
36885.795873994	1k	unweighted
36812.4817255231	1k	unweighted
36830.5977672185	1k	unweighted
36852.977815401	1k	unweighted
36871.6252550472	1k	unweighted
36868.0579152266	1k	unweighted
36826.1388274162	1k	unweighted
36797.8615477186	1k	unweighted
36818.603225759	1k	unweighted
36852.3653957214	1k	unweighted
36836.1941180161	1k	unweighted
36841.4756818702	1k	unweighted
36864.3922720176	1k	unweighted
36887.3852647655	1k	unweighted
36858.0818682051	1k	unweighted
36753.828673805	1k	unweighted
36821.9703415972	1k	unweighted
36864.0131735358	1k	unweighted
36811.826225545	1k	unweighted
36856.3266179913	1k	unweighted
36828.9748104367	1k	unweighted
36867.8857889933	1k	unweighted
36787.4439637167	1k	unweighted
36841.4130757145	1k	unweighted
36883.6140140581	1k	unweighted
36883.2436917653	1k	unweighted
36928.9458636923	1k	unweighted
36835.130577381	1k	unweighted
36848.3173970901	1k	unweighted
36831.4629621264	1k	unweighted
36851.2852453168	1k	unweighted
36826.3888292497	1k	unweighted
36765.0454603174	1k	unweighted
36819.118059092	1k	unweighted
36814.5965495902	1k	unweighted
36878.4128579704	1k	unweighted
36787.501839934	1k	unweighted
36846.2316662442	1k	unweighted
36845.5097400442	1k	unweighted
36800.0696496521	1k	unweighted
36800.5230130297	1k	unweighted
36846.394571795	1k	unweighted
36852.6968161727	1k	unweighted
36851.8120370073	1k	unweighted
36864.7484409984	1k	unweighted
36862.9773452268	1k	unweighted
36817.8872587302	1k	unweighted
36875.6092890007	1k	unweighted
36838.5314305565	1k	unweighted
36800.0201947848	1k	unweighted
36716.8876943159	1k	unweighted
36814.6978234486	1k	unweighted
36888.7284224157	1k	unweighted
36780.057942231	1k	unweighted
36797.1836757851	1k	unweighted
36861.111332627	1k	unweighted
36800.8411378425	1k	unweighted
36820.3582186684	1k	unweighted
36783.9701999885	1k	unweighted
36816.5391698021	1k	unweighted
36852.8168146318	1k	unweighted
36790.8567146306	1k	unweighted
36779.9878093479	1k	unweighted
36904.6895031066	1k	unweighted
36848.8412651714	1k	unweighted
36860.7790900136	1k	unweighted
36852.3432904914	1k	unweighted
36755.2495890202	1k	unweighted
36842.4249500343	1k	unweighted
36806.6396065131	1k	unweighted
36904.1597861283	1k	unweighted
36835.2753680518	1k	unweighted
36863.4430329942	1k	unweighted
36837.0547188667	1k	unweighted
36888.2237807389	1k	unweighted
36846.2735987831	1k	unweighted
36862.1323218501	1k	unweighted
36826.9879797402	1k	unweighted
36814.9241060873	1k	unweighted
36915.2592733109	1k	unweighted
36770.4108616198	1k	unweighted
36852.7826665606	1k	unweighted
36918.5316894628	1k	unweighted
36792.2326887014	1k	unweighted
