V1	size	type
103939.668584026	1k	unweighted
103967.846487652	1k	unweighted
104106.785413525	1k	unweighted
104273.552536173	1k	unweighted
104293.184720867	1k	unweighted
104572.92122844	1k	unweighted
104066.415732736	1k	unweighted
103588.94087158	1k	unweighted
104162.257402928	1k	unweighted
104420.713565844	1k	unweighted
104102.813649337	1k	unweighted
104205.546187939	1k	unweighted
104290.345134124	1k	unweighted
104222.07080016	1k	unweighted
104518.299831397	1k	unweighted
104019.056016438	1k	unweighted
104325.825968994	1k	unweighted
104393.584916121	1k	unweighted
104230.841970825	1k	unweighted
103979.412619545	1k	unweighted
104061.337445732	1k	unweighted
104041.811999387	1k	unweighted
104260.668014727	1k	unweighted
104159.657076451	1k	unweighted
104229.214226119	1k	unweighted
103991.267873903	1k	unweighted
104072.40798321	1k	unweighted
104359.216629834	1k	unweighted
103789.87519566	1k	unweighted
104084.417076791	1k	unweighted
104254.989407245	1k	unweighted
104113.26154722	1k	unweighted
104223.096057881	1k	unweighted
104033.04281303	1k	unweighted
103818.641764517	1k	unweighted
104166.480195383	1k	unweighted
104116.253623528	1k	unweighted
104330.239614362	1k	unweighted
104132.40471296	1k	unweighted
104256.310056741	1k	unweighted
103814.209054154	1k	unweighted
104192.374692458	1k	unweighted
104469.978118479	1k	unweighted
104282.923629447	1k	unweighted
104262.966356205	1k	unweighted
104170.190634571	1k	unweighted
104134.321339904	1k	unweighted
104030.522291448	1k	unweighted
104402.557381718	1k	unweighted
104222.509708194	1k	unweighted
104141.304804049	1k	unweighted
103782.652952237	1k	unweighted
103995.824931399	1k	unweighted
104175.403828373	1k	unweighted
104133.060209606	1k	unweighted
104262.408020115	1k	unweighted
104173.324575132	1k	unweighted
103724.71555805	1k	unweighted
103949.769754368	1k	unweighted
104218.616049171	1k	unweighted
104513.720238454	1k	unweighted
104294.647510741	1k	unweighted
104001.891720303	1k	unweighted
104344.951645727	1k	unweighted
104033.565257289	1k	unweighted
104429.370456035	1k	unweighted
104068.467461679	1k	unweighted
104150.532849086	1k	unweighted
103619.480907699	1k	unweighted
104074.340414233	1k	unweighted
104126.309250138	1k	unweighted
103979.887166155	1k	unweighted
104403.888262083	1k	unweighted
104128.755454125	1k	unweighted
104036.953550215	1k	unweighted
104165.253297281	1k	unweighted
104018.548852472	1k	unweighted
104328.102267218	1k	unweighted
104366.546761396	1k	unweighted
103920.113143961	1k	unweighted
104071.710137413	1k	unweighted
104064.184030402	1k	unweighted
104386.425763252	1k	unweighted
104303.765183483	1k	unweighted
104279.384066561	1k	unweighted
103902.132805312	1k	unweighted
104230.725557232	1k	unweighted
103971.571935203	1k	unweighted
104299.85463186	1k	unweighted
104085.23707437	1k	unweighted
104325.38323155	1k	unweighted
104012.709732267	1k	unweighted
104378.155287062	1k	unweighted
104004.136166219	1k	unweighted
104266.402218325	1k	unweighted
104195.226532735	1k	unweighted
104029.665062096	1k	unweighted
104437.607450677	1k	unweighted
104071.1627209	1k	unweighted
104196.942519402	1k	unweighted
104362.009818691	1k	unweighted
104067.298652116	1k	unweighted
103778.521323813	1k	unweighted
103843.172562555	1k	unweighted
104225.002516136	1k	unweighted
103867.390933693	1k	unweighted
104056.750819051	1k	unweighted
104095.650998803	1k	unweighted
104155.7885788	1k	unweighted
103631.181412946	1k	unweighted
104258.654232906	1k	unweighted
104083.612253391	1k	unweighted
104205.390078037	1k	unweighted
104072.385003317	1k	unweighted
104434.039603715	1k	unweighted
104144.028897438	1k	unweighted
103974.04259682	1k	unweighted
104106.145229139	1k	unweighted
104426.880913137	1k	unweighted
104375.040248413	1k	unweighted
104108.842202969	1k	unweighted
104132.63368618	1k	unweighted
103958.510530803	1k	unweighted
104064.462832899	1k	unweighted
104024.029246084	1k	unweighted
104050.101744561	1k	unweighted
103829.969353108	1k	unweighted
104147.199187095	1k	unweighted
104035.838835987	1k	unweighted
104420.265293856	1k	unweighted
104295.450198062	1k	unweighted
103949.649998813	1k	unweighted
104267.972100264	1k	unweighted
104419.237113875	1k	unweighted
104003.856513289	1k	unweighted
104029.599400276	1k	unweighted
104190.133102088	1k	unweighted
104046.551861599	1k	unweighted
104340.769694565	1k	unweighted
104524.300323228	1k	unweighted
103850.772819964	1k	unweighted
104191.943540794	1k	unweighted
104372.336351255	1k	unweighted
104403.222072275	1k	unweighted
104430.504059642	1k	unweighted
103928.963120619	1k	unweighted
