V1 Size
7.1609344818421 1k
7.17996803797506 1k
7.45600548761274 1k
7.13080372239833 1k
7.73930062015267 1k
8.10126137955689 1k
7.60933779164045 1k
7.40577128640786 1k
6.98258714395069 1k
7.48388927388136 1k
7.68907484486389 1k
6.70616597918243 1k
7.79785986720368 1k
7.64184086543622 1k
8.31465891324804 1k
7.52475047614632 1k
6.91403377602321 1k
7.47569504129556 1k
7.78794361892442 1k
7.3788457909101 1k
7.76138299782159 1k
8.42497921958027 1k
6.77921882167853 1k
7.60498725116199 1k
7.53937916355884 1k
7.1754002026899 1k
7.89820503049148 1k
6.39230210513951 1k
7.5386529106894 1k
6.45611221665111 1k
6.50050602432445 1k
7.98653415117515 1k
6.14318256138408 1k
5.80113886203448 1k
7.44029071129332 1k
7.27523015181423 1k
7.60964078732237 1k
7.02773158630476 1k
6.59440431455625 1k
8.09027493159684 1k
7.12596992356584 1k
6.83750681435558 1k
6.92129602354797 1k
7.53007175784161 1k
6.26948403785812 1k
7.15788428826846 1k
7.96593862646081 1k
6.95828325708683 1k
7.46557677093488 1k
7.3980119752948 1k
8.16158301755227 1k
7.98446946481726 1k
6.31727437713818 1k
7.93379132690211 1k
7.95646429136273 1k
7.37764368230332 1k
8.22002948430013 1k
7.69024970202802 1k
6.92065893881388 1k
6.8089066389249 1k
7.26717909180378 1k
7.67078505402498 1k
7.49014333128989 1k
7.23021682160445 1k
8.5793131751564 1k
7.54800136948839 1k
8.92961985792768 1k
6.72197700373075 1k
6.08538850449256 1k
8.42611034829339 1k
7.36364470870805 1k
7.76212269256426 1k
6.76293837495122 1k
8.13079889475205 1k
7.25869996495948 1k
6.40457691512734 1k
7.38342750619666 1k
7.51592771221183 1k
7.2420106657645 1k
7.02274193860845 1k
7.73572875731107 1k
7.43515589655357 1k
8.46613311129954 1k
7.26003922368096 1k
7.28583790922364 1k
7.19599974510338 1k
8.0955315091252 1k
7.4251330525866 1k
8.02670609948384 1k
6.56654375215545 1k
7.94035108824316 1k
7.12072948921428 1k
7.42246088831442 1k
7.26376347763102 1k
7.64942117326182 1k
7.70164182211982 1k
7.37112354989431 1k
8.80129144892704 1k
7.27518165896536 1k
7.91210696355339 1k
7.34784214186623 1k
7.78260922849473 1k
7.58258542509495 1k
7.71550459733006 1k
7.92350977276786 1k
7.29230584899206 1k
7.93399163675589 1k
7.53402180291368 1k
7.49865138411907 1k
7.36488581723161 1k
6.55249171946415 1k
6.49266946725862 1k
6.80045160582571 1k
7.01767396675424 1k
6.59834997716934 1k
7.10461915157715 1k
6.79937563271121 1k
7.6421736931473 1k
7.24926654069212 1k
7.48717601698509 1k
7.28885232606107 1k
7.64687879001809 1k
6.4176394777634 1k
7.17911759079107 1k
6.29512999730225 1k
7.16634768696061 1k
7.75268526403328 1k
7.58393963164173 1k
7.06933305168531 1k
7.04585119466498 1k
7.78263261313709 1k
7.55744001767685 1k
8.10083377397638 1k
7.49261580926755 1k
6.85969652658652 1k
7.30832476167988 1k
7.45008474846169 1k
8.31075465114202 1k
8.09004361465575 1k
7.67392986606834 1k
7.29886738774991 1k
7.86299541358625 1k
7.33481756259993 1k
7.51239933679837 1k
8.21711345403904 1k
7.40887746378655 1k
8.14896271095484 1k
8.01211506628617 1k
7.23860901393823 1k
8.51152866306309 1k
7.32576792445833 1k
8.28962539546185 1k
6.97874775151477 1k
6.50773965445936 1k
7.12780554785397 1k
7.58227879488697 1k
7.16993885313296 1k
7.05824032044369 1k
7.7687396701382 1k
8.1489990297694 1k
6.87131522477771 1k
7.69206633450154 1k
7.23063321983836 1k
7.46711311341324 1k
8.4321822724592 1k
7.07585745285891 1k
6.39233026986403 1k
6.41958730622717 1k
7.84876447839105 1k
8.10895681111518 1k
