V1	size	type
36975.8402794356	0.5k	unweighted parsed
37072.2240641228	0.5k	unweighted parsed
36863.2657304227	0.5k	unweighted parsed
36985.2820870605	0.5k	unweighted parsed
36972.4544665845	0.5k	unweighted parsed
37002.7524286966	0.5k	unweighted parsed
36869.5489306975	0.5k	unweighted parsed
36885.4883319765	0.5k	unweighted parsed
36960.9974205905	0.5k	unweighted parsed
37020.2083382862	0.5k	unweighted parsed
36933.4484938063	0.5k	unweighted parsed
36848.3792019815	0.5k	unweighted parsed
36962.8079308564	0.5k	unweighted parsed
36882.8455279682	0.5k	unweighted parsed
36951.6326453694	0.5k	unweighted parsed
36863.8194397419	0.5k	unweighted parsed
36905.4716456095	0.5k	unweighted parsed
37006.7944385635	0.5k	unweighted parsed
36829.4465200808	0.5k	unweighted parsed
37030.1946609034	0.5k	unweighted parsed
36906.5846378983	0.5k	unweighted parsed
36993.9229941579	0.5k	unweighted parsed
36967.9898210684	0.5k	unweighted parsed
36964.4710177482	0.5k	unweighted parsed
37026.3503423109	0.5k	unweighted parsed
37009.6559869556	0.5k	unweighted parsed
36920.0848806162	0.5k	unweighted parsed
36962.2909469727	0.5k	unweighted parsed
36949.7886865163	0.5k	unweighted parsed
36968.0864165727	0.5k	unweighted parsed
36995.0083541354	0.5k	unweighted parsed
36961.0867972872	0.5k	unweighted parsed
36970.4715241924	0.5k	unweighted parsed
36996.9319940867	0.5k	unweighted parsed
36922.4504558557	0.5k	unweighted parsed
37004.7187501626	0.5k	unweighted parsed
37000.4797239329	0.5k	unweighted parsed
37050.4939199558	0.5k	unweighted parsed
37022.4677128582	0.5k	unweighted parsed
37034.5100345001	0.5k	unweighted parsed
36984.0654636876	0.5k	unweighted parsed
37008.2956747151	0.5k	unweighted parsed
36985.9556767129	0.5k	unweighted parsed
37009.576918473	0.5k	unweighted parsed
36945.4589565963	0.5k	unweighted parsed
36798.0499773535	0.5k	unweighted parsed
36957.2433887137	0.5k	unweighted parsed
36994.7070164935	0.5k	unweighted parsed
36954.879354889	0.5k	unweighted parsed
36964.0116984736	0.5k	unweighted parsed
37033.3988690172	0.5k	unweighted parsed
37064.2027689409	0.5k	unweighted parsed
37008.1605292393	0.5k	unweighted parsed
36951.5216645109	0.5k	unweighted parsed
36945.3008007747	0.5k	unweighted parsed
37005.7526908458	0.5k	unweighted parsed
36964.220919173	0.5k	unweighted parsed
37031.6326022619	0.5k	unweighted parsed
37048.8687028358	0.5k	unweighted parsed
37048.2391842068	0.5k	unweighted parsed
36937.4963575283	0.5k	unweighted parsed
37013.8417337204	0.5k	unweighted parsed
36848.2358371107	0.5k	unweighted parsed
36992.7933251694	0.5k	unweighted parsed
37026.6798809599	0.5k	unweighted parsed
37057.476275802	0.5k	unweighted parsed
36985.5934106177	0.5k	unweighted parsed
37001.2785701475	0.5k	unweighted parsed
37021.2675723761	0.5k	unweighted parsed
36997.5673438858	0.5k	unweighted parsed
36928.6384901746	0.5k	unweighted parsed
36910.5455005934	0.5k	unweighted parsed
36894.0309240047	0.5k	unweighted parsed
36888.99562653	0.5k	unweighted parsed
36935.065740423	0.5k	unweighted parsed
36972.1743469277	0.5k	unweighted parsed
37041.9659028974	0.5k	unweighted parsed
36920.9673150002	0.5k	unweighted parsed
36957.8772424898	0.5k	unweighted parsed
36972.5890552493	0.5k	unweighted parsed
37015.4458935869	0.5k	unweighted parsed
37030.9681919928	0.5k	unweighted parsed
36976.6992085553	0.5k	unweighted parsed
36948.9664955376	0.5k	unweighted parsed
36945.9014988363	0.5k	unweighted parsed
36986.1304361307	0.5k	unweighted parsed
36976.4750751735	0.5k	unweighted parsed
36984.8476758753	0.5k	unweighted parsed
36861.890158207	0.5k	unweighted parsed
37096.2554622277	0.5k	unweighted parsed
36930.0166245578	0.5k	unweighted parsed
36911.1271193301	0.5k	unweighted parsed
37063.4205706197	0.5k	unweighted parsed
36961.8874654274	0.5k	unweighted parsed
36976.0509943268	0.5k	unweighted parsed
36948.92860354	0.5k	unweighted parsed
36877.4865065496	0.5k	unweighted parsed
36924.9899604024	0.5k	unweighted parsed
37025.5699300226	0.5k	unweighted parsed
36920.1343890163	0.5k	unweighted parsed
36968.0116142963	0.5k	unweighted parsed
36908.0818269219	0.5k	unweighted parsed
36887.5906469127	0.5k	unweighted parsed
37080.2076794094	0.5k	unweighted parsed
36937.2815619295	0.5k	unweighted parsed
36966.0741809634	0.5k	unweighted parsed
36950.166009282	0.5k	unweighted parsed
36886.6435611667	0.5k	unweighted parsed
36993.3871095762	0.5k	unweighted parsed
36946.5509038083	0.5k	unweighted parsed
36992.2124484585	0.5k	unweighted parsed
37024.1564013674	0.5k	unweighted parsed
36901.5905396157	0.5k	unweighted parsed
36956.7855598104	0.5k	unweighted parsed
37046.4940751646	0.5k	unweighted parsed
37010.6122153932	0.5k	unweighted parsed
37019.5055668862	0.5k	unweighted parsed
36943.02116741	0.5k	unweighted parsed
36967.5272115274	0.5k	unweighted parsed
36967.8693816789	0.5k	unweighted parsed
37065.6227249284	0.5k	unweighted parsed
36994.331478431	0.5k	unweighted parsed
37017.9384986392	0.5k	unweighted parsed
37003.0288657055	0.5k	unweighted parsed
36927.1481304599	0.5k	unweighted parsed
37010.5630508011	0.5k	unweighted parsed
36986.6890632199	0.5k	unweighted parsed
36916.857197502	0.5k	unweighted parsed
37094.1131888925	0.5k	unweighted parsed
36897.7193046952	0.5k	unweighted parsed
36990.2054370195	0.5k	unweighted parsed
37038.0212223334	0.5k	unweighted parsed
36899.2957859436	0.5k	unweighted parsed
36931.2783784126	0.5k	unweighted parsed
36973.7447894273	0.5k	unweighted parsed
36994.1508937835	0.5k	unweighted parsed
36951.8056596119	0.5k	unweighted parsed
36879.0667759749	0.5k	unweighted parsed
36897.1111299583	0.5k	unweighted parsed
36961.884736318	0.5k	unweighted parsed
36943.0640407502	0.5k	unweighted parsed
36941.6061495927	0.5k	unweighted parsed
37005.0637656424	0.5k	unweighted parsed
37106.925683811	0.5k	unweighted parsed
36944.4446074133	0.5k	unweighted parsed
36962.9398414766	0.5k	unweighted parsed
36894.2137218622	0.5k	unweighted parsed
37009.2142156997	0.5k	unweighted parsed
36964.1375829694	0.5k	unweighted parsed
37078.8996830284	0.5k	unweighted parsed
37015.7959282721	0.5k	unweighted parsed
36939.8636010426	0.5k	unweighted parsed
