V1	size	type
104278.893241617	0.5k	unweighted parsed
104746.090933343	0.5k	unweighted parsed
104143.152227807	0.5k	unweighted parsed
104496.772627153	0.5k	unweighted parsed
104352.741273586	0.5k	unweighted parsed
104590.839527861	0.5k	unweighted parsed
103985.703518324	0.5k	unweighted parsed
104395.762227635	0.5k	unweighted parsed
104557.226118705	0.5k	unweighted parsed
104553.275915476	0.5k	unweighted parsed
104359.013539183	0.5k	unweighted parsed
104330.680634844	0.5k	unweighted parsed
104383.900153566	0.5k	unweighted parsed
104313.556816326	0.5k	unweighted parsed
104570.639244548	0.5k	unweighted parsed
103817.244970707	0.5k	unweighted parsed
104183.205714473	0.5k	unweighted parsed
104276.922976286	0.5k	unweighted parsed
103990.199184972	0.5k	unweighted parsed
104564.585192158	0.5k	unweighted parsed
104185.057179429	0.5k	unweighted parsed
104581.025253645	0.5k	unweighted parsed
104272.906536826	0.5k	unweighted parsed
104505.611898978	0.5k	unweighted parsed
104675.652131666	0.5k	unweighted parsed
104633.98882819	0.5k	unweighted parsed
103899.356610415	0.5k	unweighted parsed
104179.379962807	0.5k	unweighted parsed
104557.560248875	0.5k	unweighted parsed
104425.543472113	0.5k	unweighted parsed
104748.372630976	0.5k	unweighted parsed
104461.626400604	0.5k	unweighted parsed
104547.711222233	0.5k	unweighted parsed
104438.266888465	0.5k	unweighted parsed
104299.114319358	0.5k	unweighted parsed
104312.619442982	0.5k	unweighted parsed
104686.198437172	0.5k	unweighted parsed
104751.378883414	0.5k	unweighted parsed
104544.513503901	0.5k	unweighted parsed
104396.829649346	0.5k	unweighted parsed
104657.828079376	0.5k	unweighted parsed
104553.554826012	0.5k	unweighted parsed
104737.389748211	0.5k	unweighted parsed
104620.436459679	0.5k	unweighted parsed
104313.916473015	0.5k	unweighted parsed
103930.778485792	0.5k	unweighted parsed
104282.34110589	0.5k	unweighted parsed
104706.221633009	0.5k	unweighted parsed
104395.691124132	0.5k	unweighted parsed
104205.689646122	0.5k	unweighted parsed
104638.392989468	0.5k	unweighted parsed
104895.969746727	0.5k	unweighted parsed
104376.763813589	0.5k	unweighted parsed
104291.192524071	0.5k	unweighted parsed
104124.635746669	0.5k	unweighted parsed
104694.681939509	0.5k	unweighted parsed
104412.516629837	0.5k	unweighted parsed
104846.976633788	0.5k	unweighted parsed
104832.058498428	0.5k	unweighted parsed
104847.220703083	0.5k	unweighted parsed
103998.182778984	0.5k	unweighted parsed
