word	tokens	tokens.raw
te	119050.9874	119052
i	86464.04576	86465
a	54362.97832	54364
ki	51234.97843	51236
Na	44222.48915	44223
o	42203.97836	42205
e	37735.9787	37737
ka	23306.98241	23308
ko	22786.9806	22788
he	18872.97904	18874
mai	18151.82606	18152
ana	17270.46873	17272
nei	15065.48917	15066
atu	13440.48917	13441
kei	13017.48917	13018
au	11647.98459	11649
tenei	11578.48918	11579
ratou	11307.48918	11308
kua	11278.48918	11279
me	10911.48918	10912
na	10813.48918	10814
kia	10327.98261	10329
mo	10145.82608	10146
mea	10027.48918	10028
ano	9681.081009	9682
ra	9391.489184	9392
roto	9028.826089	9029
korero	8954.489186	8955
haere	8732.489187	8733
tatou	8505.489188	8506
mahi	8405.488523	8406
matou	8018.00042	8019
hoki	7998.045805	7999
tera	7051.483332	7053
wa	6676.489201	6677
reira	6659.489201	6660
maori	6357.489204	6358
ai	6116.489206	6117
hei	6115.489206	6116
eNari	6110.489206	6111
ia	5883.489209	5884
ae	5865.489209	5866
tonu	5792.48921	5793
no	5516.489213	5517
ake	5470.826118	5471
ma	5362.489215	5363
koe	5286.489216	5287
to	5120.489219	5121
tena	5073.48922	5074
reo	4842.489223	4843
katoa	4813.059795	4814
iwi	4673.489226	4674
ruNa	4617.489227	4618
taku	4574.979107	4576
koutou	4529.489229	4530
tau	4451.980954	4453
tetahi	4165.489236	4166
taua	3998.518082	4000
taNata	3874.978735	3876
kaupapa	3850.489244	3851
ke	3732.489247	3733
pai	3723.489248	3724
noho	3669.489249	3670
mohio	3618.489251	3619
kaore	3531.489253	3532
nui	3457.489256	3458
fare	3437.489256	3438
tino	3427.489257	3428
etahi	3345.48926	3346
tu	3281.489262	3282
noa	3225.489264	3226
ne	3039.489271	3040
fakaaro	3010.489273	3011
konei	2995.489273	2996
kura	2966.489275	2967
kore	2862.489279	2863
wai	2851.48928	2852
aha	2816.489282	2817
ta	2776.826188	2777
tekau	2744.489285	2745
fenua	2712.489287	2713
kare	2703.980302	2705
rua	2668.489289	2669
tana	2657.97927	2659
pea	2631.489292	2632
tae	2614.489293	2615
enei	2502.489299	2503
ora	2410.489305	2411
ahua	2266.98516	2268
era	2208.48932	2209
tamariki	2183.489322	2184
ahuataNa	2087.489331	2088
iho	2087.489331	2088
koira	2062.489333	2063
puta	2043.489335	2044
ahau	2025.000567	2026
ara	1996.979926	1998
kaiNa	1963.983309	1965
fai	1903.489349	1904
kite	1841.489356	1842
marae	1822.489358	1823
kai	1786.826266	1787
fanau	1769.489364	1770
taha	1747.014857	1748
tona	1747.009197	1748
heoi	1739.489368	1740
rawa	1731.489369	1732
wahi	1647.489381	1648
ahakoa	1645.489381	1646
ao	1635.489383	1636
ropu	1625.489384	1626
mua	1622.489385	1623
pa	1618.489385	1619
wahine	1600.979322	1602
matua	1574.979312	1576
muri	1515.489402	1516
waka	1501.489404	1502
tika	1483.163215	1483
rau	1465.489411	1466
hui	1460.489411	1461
mau	1458.982264	1460
kaha	1448.826318	1449
roNo	1429.489417	1430
tuatahi	1400.489423	1401
penei	1396.489424	1397
titiro	1394.489424	1395
take	1384.329142	1385
taoNa	1352.826337	1353
hiahia	1350.489433	1351
mate	1348.489434	1349
tikaNa	1340.489436	1341
mana	1281.980774	1283
taea	1281.489449	1282
pehea	1271.489452	1272
tahi	1270.151882	1271
toku	1266.489453	1267
maua	1253.489456	1254
kupu	1252.489456	1253
raro	1251.489456	1252
raNatira	1242.489459	1243
ranei	1238.48946	1239
raNi	1237.48946	1238
mihi	1226.489463	1227
katahi	1219.489465	1220
pera	1215.995866	1217
ata	1206.57149	1208
toru	1206.489468	1207
iNoa	1204.489469	1205
kotahi	1192.489472	1193
timata	1189.489473	1190
koina	1148.489485	1149
mutu	1142.489486	1143
papa	1106.493744	1108
roa	1100.4895	1101
aua	1098.4895	1099
huri	1091.826407	1092
aku	1088.981752	1090
fakaroNo	1066.489511	1067
rohe	1053.489516	1054
raua	1039.009353	1040
koinei	1032.489523	1033
hoa	1026.489525	1027
ako	989.48954	990
wahaNa	987.081368	988
motu	985.826445	986
marama	971.97995	973
anei	959.489552	960
mehemea	954.489554	955
inaianei	947.489557	948
wanaNa	922.151999	923
ehara	921.489569	922
rima	903.489577	904
tari	884.489587	885
kawanataNa	877.48959	878
waiata	870.489594	871
tuarua	867.489596	868
kitea	862.489598	863
kuia	858.4896	859
kau	852.489603	853
ona	850.036353	851
tono	850.489605	851
wiki	842.489609	843
fa	841.48961	842
huNa	838.826515	839
tautoko	818.489623	819
tai	817.489623	818
otira	813.489626	814
moana	802.489632	803
kaumatua	797.489635	798
fakahaere	792.489638	793
momo	791.489639	792
ture	782.489645	783
oku	780.489646	781
matauraNa	771.489652	772
tupuna	753.980533	755
uru	747.489668	748
hou	744.081498	745
maha	739.826578	740
toa	739.489674	740
koia	738.152105	739
taNi	737.489675	738
karere	735.489677	736
moni	733.489678	734
po	726.489683	727
nuiNa	724.489685	725
waru	723.489686	724
waeNanui	722.489686	723
koroua	716.489691	717
kaua	712.489694	713
haramai	711.489695	712
tohu	707.489698	708
tane	706.826603	707
huarahi	700.489703	701
iwa	688.489713	689
ono	688.489713	689
hea	678.489722	679
patai	678.489722	679
heke	672.489727	673
tipuna	672.317578	673
riro	667.489731	668
kati	655.984846	657
pukapuka	652.489745	653
mokopuna	649.489747	650
aroha	645.489751	646
ika	641.489755	642
waho	634.489762	635
tuku	630.489766	631
karaNa	629.489767	630
kao	623.982514	625
afina	618.489778	619
tapu	617.009619	618
mena	610.489786	611
awa	609.489787	610
mano	608.489788	609
tamaki	598.489799	599
wairua	589.489809	590
oti	584.826719	585
tima	584.06039	585
hua	579.48982	580
wera	577.483634	579
Nai	576.489824	577
tara	574.981052	576
pakeke	569.826736	570
poari	569.489832	570
tata	567.911349	569
rereke	562.489841	563
uri	562.489841	563
anake	551.489855	552
rakau	549.489857	550
mama	546.023583	547
ena	543.489865	544
fitu	543.489865	544
utu	541.489868	542
fakaae	533.489879	534
putea	530.489883	531
faea	529.152316	530
kona	527.012322	528
mauNa	526.489889	527
tuhoe	525.48989	526
fanui	524.489891	525
eke	519.489899	520
manu	517.992749	519
wetahi	513.489907	514
moe	510.489912	511
tama	510.489912	511
fakamarama	509.489913	510
hapu	506.489918	507
tukuna	505.48992	506
tauira	503.826827	504
fakataetae	500.489927	501
minita	495.489935	496
karakia	490.489943	491
kaiako	489.489945	490
rere	488.489947	489
faNa	487.489948	488
haNa	484.489953	485
piraNi	483.489955	484
haka	476.826871	477
Naro	474.48997	475
hau	466.489984	467
takaro	465.489986	466
piki	462.002562	463
mahia	459.995711	461
tetehi	459.489997	460
kahore	448.490018	449
panui	448.490018	449
turaNa	438.490038	439
pena	431.999095	433
kiia	430.490055	431
tauiwi	427.490061	428
pakaNa	426.826967	427
kohaNa	425.490065	426
naianei	425.490065	426
porou	421.490074	422
kaunihera	419.490078	420
kawana	418.490081	419
taima	417.490083	418
hahi	416.490085	417
tiriti	416.490085	417
nana	413.506047	415
hoiho	410.023829	411
kapa	406.827012	407
tipu	397.49013	398
hine	394.490138	395
raNatahi	394.490138	395
tuturu	390.827052	391
tini	387.987347	389
tainui	385.490161	386
tumanako	385.490161	386
arawa	377.490182	378
raruraru	374.490191	375
fifi	373.490193	374
tiaki	370.490202	371
fakatu	365.490216	366
mutuNa	362.490225	363
mahara	356.490243	357
takoto	356.490243	357
waiho	355.490246	356
fakatau	353.490253	354
tamaiti	353.490253	354
waea	353.490253	354
taumata	352.490256	353
hoko	346.490275	347
maku	345.012734	346
timataNa	345.490278	346
ahu	344.490282	345
makau	343.490285	344
Nakau	343.490285	344
taone	343.490285	344
tua	337.118487	338
hia	336.827213	337
tinana	335.490312	336
karauna	331.490326	332
iriraNi	329.490333	330
tirohia	328.490337	329
koti	327.335372	328
haora	326.490344	327
iti	326.490344	327
tou	322.983723	324
fakahoki	321.490363	322
riNa	320.490367	321
fakahokia	319.49037	320
ina	311.98373	313
kawe	312.490398	313
rite	312.490398	313
oraNa	308.490414	309
tokerau	306.490422	307
atua	304.490431	305
fakahe	300.490448	301
fakapono	298.490456	299
tiki	298.490456	299
kimi	296.490465	297
rapu	294.490474	295
tuakana	293.984049	295
wenei	292.490483	293
tohuNa	291.490488	292
taka	290.164305	290
tere	288.490502	289
etehi	287.490506	288
tutuki	286.999606	288
uaua	285.490516	286
ataahua	284.490521	285
neke	281.490535	282
faNai	279.490545	280
mahita	279.490545	280
hauora	278.49055	279
upoko	277.490555	278
kaimahi	276.49056	277
homai	275.490566	276
matau	274.988958	276
fanauNa	272.490581	273
kaitiaki	271.490586	272
kato	271.490586	272
tawahi	270.490592	271
tahu	268.024358	269
wareware	268.490603	269
awaNawaNa	265.490619	266
pepa	265.490619	266
fakairo	264.490625	265
raNatirataNa	264.490625	265
u	262.490636	263
hara	261.490641	262
takiwa	260.490647	261
rahi	258.490659	259
matakitaki	257.490665	258
kanohi	255.490676	256
korerotia	255.490676	256
mata	254.21938	256
mema	253.490689	254
korerohia	252.490695	253
komiti	251.490701	252
tutaki	249.490713	250
fakautu	247.490726	248
hoia	246.490732	247
fakafiti	245.490739	246
haereNa	245.490739	246
kakahu	245.490739	246
moutere	243.490752	244
fakaako	242.490758	243
kino	242.490758	243
patu	239.994792	241
manaaki	239.490778	240
fakapapa	238.153222	239
runaNa	237.490792	238
pirihimana	236.490799	237
fafai	235.037594	236
ha	234.98681	236
