tokens.raw	N
119052	1
86465	2
54364	3
51236	4
44223	5
42205	6
37737	7
23308	8
22788	9
18874	10
18152	11
17272	12
15066	13
13441	14
13018	15
11649	16
11579	17
11308	18
11279	19
10912	20
10814	21
10329	22
10146	23
10028	24
9682	25
9392	26
9029	27
8955	28
8733	29
8506	30
8406	31
8019	32
7999	33
7053	34
6677	35
6660	36
6358	37
6117	38
6116	39
6111	40
5884	41
5866	42
5793	43
5517	44
5471	45
5363	46
5287	47
5121	48
5074	49
4843	50
4814	51
4674	52
4618	53
4576	54
4530	55
4453	56
4166	57
4000	58
3876	59
3851	60
3733	61
3724	62
3670	63
3619	64
3532	65
3458	66
3438	67
3428	68
3346	69
3282	70
3226	71
3040	72
3011	73
2996	74
2967	75
2863	76
2852	77
2817	78
2777	79
2745	80
2713	81
2705	82
2669	83
2659	84
2632	85
2615	86
2503	87
2411	88
2268	89
2209	90
2184	91
2088	93
2063	94
2044	95
2026	96
1998	97
1965	98
1904	99
1842	100
1823	101
1787	102
1770	103
1748	105
1740	106
1732	107
1648	108
1646	109
1636	110
1626	111
1623	112
1619	113
1602	114
1576	115
1516	116
1502	117
1483	118
1466	119
1461	120
1460	121
1449	122
1430	123
1401	124
1397	125
1395	126
1385	127
1353	128
1351	129
1349	130
1341	131
1283	132
1282	133
1272	134
1271	135
1267	136
1254	137
1253	138
1252	139
1243	140
1239	141
1238	142
1227	143
1220	144
1217	145
1208	146
1207	147
1205	148
1193	149
1190	150
1149	151
1143	152
1108	153
1101	154
1099	155
1092	156
1090	157
1067	158
1054	159
1040	160
1033	161
1027	162
990	163
988	164
986	165
973	166
960	167
955	168
948	169
923	170
922	171
904	172
885	173
878	174
871	175
868	176
863	177
859	178
853	179
851	181
843	182
842	183
839	184
819	185
818	186
814	187
803	188
798	189
793	190
792	191
783	192
781	193
772	194
755	195
748	196
745	197
740	199
739	200
738	201
736	202
734	203
727	204
725	205
724	206
723	207
717	208
713	209
712	210
708	211
707	212
701	213
689	215
679	217
673	219
668	220
657	221
653	222
650	223
646	224
642	225
635	226
631	227
630	228
625	229
619	230
618	231
611	232
610	233
609	234
599	235
590	236
585	238
580	239
579	240
577	241
576	242
570	244
569	245
563	247
552	248
550	249
547	250
544	252
542	253
534	254
531	255
530	256
528	257
527	258
526	259
525	260
520	261
519	262
514	263
511	265
510	266
507	267
506	268
504	269
501	270
496	271
491	272
490	273
489	274
488	275
485	276
484	277
477	278
475	279
467	280
466	281
463	282
461	283
460	284
449	286
439	287
433	288
431	289
428	290
427	291
426	293
422	294
420	295
419	296
418	297
417	299
415	300
411	301
407	302
398	303
395	305
391	306
389	307
386	309
378	310
375	311
374	312
371	313
366	314
363	315
357	317
356	318
354	321
353	322
347	323
346	325
345	326
344	329
338	330
337	331
336	332
332	333
330	334
329	335
328	336
327	338
324	339
322	340
321	341
320	342
313	345
309	346
307	347
305	348
301	349
299	351
297	352
295	354
293	355
292	356
290	357
289	358
288	360
286	361
285	362
282	363
280	365
279	366
278	367
277	368
276	370
273	371
272	373
271	374
269	376
266	378
265	380
263	381
262	382
261	383
259	384
258	385
256	388
254	389
253	390
252	391
250	392
248	393
247	394
246	397
244	398
243	400
241	401
240	402
239	403
238	404
237	405
236	408
235	409
234	411
232	413
230	414
229	416
225	417
224	418
223	421
220	423
218	426
217	429
216	431
215	434
214	435
213	436
212	438
211	439
209	441
208	442
207	444
206	447
205	451
204	452
203	455
202	456
201	458
200	459
199	460
198	462
197	464
196	467
194	468
193	470
192	472
191	475
190	476
189	478
188	479
187	482
186	485
185	486
183	487
181	488
179	490
178	492
177	495
176	497
175	499
174	500
172	502
171	505
170	507
166	510
164	512
163	517
162	522
161	525
159	527
158	530
157	534
156	537
153	538
152	539
151	541
150	542
149	545
148	547
147	549
146	550
145	551
144	553
143	556
141	557
140	559
139	562
138	567
137	568
135	571
134	572
133	575
132	580
131	583
130	584
129	586
128	589
126	594
125	596
124	602
123	603
122	605
121	609
120	613
119	614
118	617
117	621
116	625
115	630
114	632
113	634
112	637
111	640
110	642
109	645
108	649
107	652
106	658
105	662
104	665
103	671
102	676
101	681
100	689
99	692
98	694
97	699
96	704
95	710
94	714
93	716
92	724
91	729
90	735
89	738
88	742
87	745
86	753
85	756
84	762
83	766
82	770
81	775
80	785
79	788
78	792
77	799
76	807
75	814
74	822
73	827
72	833
71	842
70	846
69	852
68	862
67	871
66	881
65	885
64	892
63	904
62	913
61	920
60	938
59	944
58	952
57	962
56	971
55	983
54	988
53	1001
52	1012
51	1023
50	1032
49	1039
48	1052
47	1062
46	1073
45	1084
44	1100
43	1110
42	1123
41	1133
40	1144
39	1172
38	1198
37	1218
36	1238
35	1251
34	1272
33	1295
32	1313
31	1337
30	1356
29	1373
28	1408
27	1431
26	1454
25	1485
24	1509
23	1555
22	1602
21	1629
20	1662
19	1705
18	1755
17	1787
16	1849
15	1924
14	1985
13	2042
12	2125
11	2208
10	2310
9	2420
8	2539
7	2707
6	2910
5	3164
4	3470
3	3879
2	4526
1	5821
0	18703
