morph	words	tokens	tokens.raw
te	62	150372.855359	150371
i	28	87521.375992	87521
a	639	60575.789474	60502
ki	83	51954.150057	51954
Na	390	50609.904185	50610
e	21	44673.238867	44676
o	60	42793.802536	42791
ko	758	38283.08465	38125
nei	26	37464.723481	37470
ka	301	31221.959008	31197
ra	146	22415.888322	22416
faka	2755	22575.810753	22248
na	112	21568.537774	21571
he	50	20609.983282	20620
ma	466	20662.264365	20619
mai	55	18973.729376	18968
ta	689	18095.081946	17996
ana	18	17416.714578	17418
tou	22	16837.710894	16832
mo	115	14539.544079	14523
atu	17	13779.643708	13779
kei	15	13055.043517	13051
wa	87	12816.145689	12819
tahi	74	12618.50401	12618
me	8	12487.678528	12488
au	95	12058.223735	12041
kua	10	11419.465878	11419
ratou	1	11307.48918	11308
mea	11	11097.923489	11098
kia	56	11006.574603	10996
tau	453	10190.08205	10119
haere	11	9921.566148	9926
rero	18	9858.574792	9862
ano	2	9681.417913	9682
mahi	29	9437.214247	9437
kau	195	9401.819446	9370
roto	18	9041.73921	9039
hoki	17	8912.898576	8916
tu	508	8914.802738	8849
nui	82	6687.537876	6685
reira	1	6659.489201	6660
ae	7	6566.654114	6569
maori	9	6468.736402	6472
hia	727	6500.413913	6424
hei	26	6410.510033	6409
ia	92	6324.137995	6310
ai	18	6183.265792	6182
eNari	2	6111.151636	6112
tonu	3	5799.36551	5800
to	206	5801.548842	5767
pa	450	5823.033594	5765
no	25	5575.269913	5577
ake	14	5485.900212	5484
wai	297	5508.268176	5471
taNa	369	5450.760765	5435
koe	11	5293.170951	5289
raNa	86	5254.825332	5256
iwi	19	5162.737113	5161
kai	481	5057.338006	5012
reo	10	4870.025751	4868
rua	199	4857.395247	4823
katoa	1	4809.489224	4810
papa	149	4803.392058	4775
ke	48	4673.934928	4676
taku	11	4662.836168	4664
ruNa	13	4636.034714	4634
koi	39	4633.434845	4632
aha	19	4622.988051	4623
koutou	1	4529.489229	4530
ahua	21	4489.879334	4490
pai	50	4426.190792	4429
ti	388	4333.534195	4265
taua	21	4033.261436	4031
hio	8	3997.371962	3999
tae	43	3984.34784	3979
noho	15	3918.094446	3922
aro	76	3842.282647	3826
fare	42	3697.190288	3690
tua	122	3672.782476	3663
pu	507	3730.917952	3646
kaore	1	3531.489253	3532
pe	46	3450.834904	3454
tino	3	3428.163065	3428
tama	24	3338.621104	3341
kura	68	3285.007856	3278
noa	22	3245.040368	3240
kore	69	3234.016812	3222
roNo	42	3174.529185	3175
ne	11	3116.641838	3117
mata	236	2961.014851	2921
kite	13	2865.979984	2869
fenua	35	2852.809467	2849
ora	49	2828.647278	2821
tia	2143	3317.852422	2809
fai	87	2793.475285	2779
fa	188	2781.917444	2769
raNi	188	2756.958486	2733
tana	6	2729.055504	2730
tai	220	2728.834272	2699
hi	165	2662.207312	2645
re	39	2643.150748	2641
pea	7	2633.510716	2632
taNata	13	2566.043185	2564
riki	70	2571.602013	2560
haNa	93	2544.59762	2543
hine	15	2489.240324	2491
puta	27	2444.31733	2443
rau	219	2478.124479	2438
mau	71	2431.619359	2432
ako	27	2409.495113	2417
matua	22	2396.35793	2394
hui	28	2376.522029	2382
hara	67	2360.890857	2354
rere	91	2351.316521	2350
era	7	2244.929549	2245
hea	38	2220.8774	2217
ata	61	2215.467408	2216
fanau	11	2211.39501	2215
mana	58	2202.126585	2203
ara	52	2206.229997	2202
tika	32	2171.963095	2173
iho	10	2090.521467	2088
hua	129	2054.49355	2038
ahau	1	2008.489338	2009
kaiNa	6	1995.393415	1997
koa	15	1945.115574	1947
hau	284	1987.246608	1944
puna	15	1928.901687	1930
ro	47	1858.827683	1853
mutu	25	1835.542151	1831
taha	38	1833.036126	1828
marae	3	1823.163166	1823
po	286	1843.306664	1804
rama	23	1781.889919	1781
tona	11	1757.911948	1756
rawa	19	1757.703091	1752
heoi	1	1739.489368	1740
mua	21	1741.302911	1739
ao	43	1736.23173	1728
take	26	1676.165727	1676
tohu	56	1662.780914	1656
muri	27	1642.296467	1641
toru	23	1641.602767	1641
tira	16	1639.913892	1638
waka	37	1627.169112	1619
oti	16	1583.068407	1583
huri	81	1591.992669	1582
kaha	48	1575.10691	1572
toko	52	1542.849143	1540
mate	38	1537.336338	1534
mihi	17	1463.438735	1466
tuku	55	1460.885895	1453
taki	74	1434.032573	1433
roa	124	1425.157119	1411
pera	10	1407.541328	1408
titiro	2	1398.059995	1399
naia	5	1389.16597	1390
Nata	4	1386.658562	1387
ha	249	1418.200104	1385
kotahi	5	1353.599114	1356
taoNa	5	1354.173953	1353
tikaNa	2	1340.82634	1341
tiro	14	1329.642582	1333
puka	17	1325.082122	1322
kawana	3	1296.316575	1297
taea	2	1283.117624	1284
raro	18	1274.726881	1270
toku	1	1266.489453	1267
hoa	27	1267.688121	1262
maua	5	1261.039564	1261
kupu	19	1260.855711	1255
Nai	19	1253.126626	1253
iNoa	6	1246.74201	1248
rahi	38	1219.362159	1214
naNa	7	1190.260285	1192
tea	70	1164.578361	1157
motu	18	1152.723787	1153
Nia	482	1209.982502	1151
uru	80	1128.278126	1119
aua	4	1099.825738	1100
aku	12	1098.208252	1096
rite	42	1087.836446	1087
taNi	30	1080.639552	1082
rohe	15	1065.714018	1063
firi	69	1058.325757	1053
maha	11	1038.081166	1042
raua	7	1041.030777	1040
wiki	3	1034.317699	1035
tono	10	992.950924	996
huNa	29	989.227577	983
rima	12	973.095138	972
tari	47	976.185615	963
anei	1	959.489552	960
raru	17	954.260732	955
afi	27	949.682071	947
iti	48	944.900505	944
waeNa	15	906.048076	904
moana	16	902.821358	902
utu	25	900.199019	900
heke	44	895.206737	899
moe	44	895.970725	894
hou	57	892.384936	884
tuhi	36	881.780888	882
ona	8	880.018339	881
here	72	878.481811	873
kuia	6	868.366398	868
ho	104	875.337773	863
ku	141	883.155625	860
kara	93	854.851954	843
fi	36	831.897661	831
ria	150	848.617576	825
moko	25	822.533734	817
momo	8	818.352359	817
tane	11	812.536975	811
