tokens.raw	N
150371	1
87521	2
60502	3
51954	4
50610	5
44676	6
42791	7
38125	8
37470	9
31197	10
22416	11
22248	12
21571	13
20620	14
20619	15
18968	16
17996	17
17418	18
16832	19
14523	20
13779	21
13051	22
12819	23
12618	24
12488	25
12041	26
11419	27
11308	28
11098	29
10996	30
10119	31
9926	32
9862	33
9682	34
9437	35
9370	36
9039	37
8916	38
8849	39
6685	40
6660	41
6569	42
6472	43
6424	44
6409	45
6310	46
6182	47
6112	48
5800	49
5767	50
5765	51
5577	52
5484	53
5471	54
5435	55
5289	56
5256	57
5161	58
5012	59
4868	60
4823	61
4810	62
4775	63
4676	64
4664	65
4634	66
4632	67
4623	68
4530	69
4490	70
4429	71
4265	72
4031	73
3999	74
3979	75
3922	76
3826	77
3690	78
3663	79
3646	80
3532	81
3454	82
3428	83
3341	84
3278	85
3240	86
3222	87
3175	88
3117	89
2921	90
2869	91
2849	92
2821	93
2809	94
2779	95
2769	96
2733	97
2730	98
2699	99
2645	100
2641	101
2632	102
2564	103
2560	104
2543	105
2491	106
2443	107
2438	108
2432	109
2417	110
2394	111
2382	112
2354	113
2350	114
2245	115
2217	116
2216	117
2215	118
2203	119
2202	120
2173	121
2088	122
2038	123
2009	124
1997	125
1947	126
1944	127
1930	128
1853	129
1831	130
1828	131
1823	132
1804	133
1781	134
1756	135
1752	136
1740	137
1739	138
1728	139
1676	140
1656	141
1641	143
1638	144
1619	145
1583	146
1582	147
1572	148
1540	149
1534	150
1466	151
1453	152
1433	153
1411	154
1408	155
1399	156
1390	157
1387	158
1385	159
1356	160
1353	161
1341	162
1333	163
1322	164
1297	165
1284	166
1270	167
1267	168
1262	169
1261	170
1255	171
1253	172
1248	173
1214	174
1192	175
1157	176
1153	177
1151	178
1119	179
1100	180
1096	181
1087	182
1082	183
1063	184
1053	185
1042	186
1040	187
1035	188
996	189
983	190
972	191
963	192
960	193
955	194
947	195
944	196
904	197
902	198
900	199
899	200
894	201
884	202
882	203
881	204
873	205
868	206
863	207
860	208
843	209
831	210
825	211
817	213
811	214
798	215
788	216
781	218
775	219
764	220
763	221
758	222
756	223
755	225
752	226
744	227
742	229
739	230
736	231
734	232
726	233
724	234
717	237
713	238
711	239
708	240
706	241
687	242
686	243
681	244
678	246
677	247
675	248
668	249
666	250
662	251
659	252
654	254
642	255
636	256
621	257
611	258
610	259
605	260
599	261
598	262
591	263
588	264
587	265
583	266
570	267
569	268
565	269
552	270
550	271
549	272
544	273
542	274
537	275
534	276
532	277
530	278
522	279
520	280
516	281
515	283
509	285
507	286
506	287
505	288
504	289
502	290
499	291
492	292
490	293
484	294
478	295
466	296
464	297
463	298
461	299
459	300
458	301
450	302
441	303
434	304
425	305
422	306
420	307
419	308
418	311
417	313
415	314
414	315
411	317
410	318
403	319
391	320
389	321
388	322
386	323
378	324
376	325
375	326
362	327
360	328
357	330
355	331
352	333
348	334
347	335
345	337
344	338
343	339
342	341
339	342
335	343
331	344
327	345
326	346
325	347
321	348
320	349
318	350
317	351
305	354
304	355
303	356
299	357
297	358
294	359
293	360
291	361
288	362
285	363
284	364
281	366
276	367
275	370
273	371
272	372
269	373
267	374
266	377
263	378
261	380
260	381
256	383
255	384
254	385
252	386
249	387
247	388
245	389
243	390
242	391
241	392
237	393
235	394
234	395
233	396
232	397
229	398
228	399
225	400
222	402
219	403
215	404
214	405
213	406
212	407
211	409
210	411
209	414
205	417
204	418
203	420
202	421
201	422
194	424
193	425
191	427
189	428
188	429
187	431
186	432
185	434
184	437
182	438
180	439
179	441
178	444
177	445
175	447
174	448
172	449
171	450
168	452
167	457
165	458
163	459
162	460
161	464
160	466
159	470
158	471
157	472
156	473
155	474
154	475
153	477
152	479
149	480
148	482
147	484
146	485
144	486
143	488
142	490
141	494
138	496
135	497
134	498
133	499
132	500
129	501
128	502
127	503
126	505
124	506
123	508
122	509
121	510
120	511
119	514
118	517
117	518
116	520
115	522
114	524
113	527
112	529
111	530
110	532
109	533
108	534
106	536
105	538
104	540
103	543
102	545
101	546
100	548
99	553
98	556
97	558
96	562
95	565
94	566
93	569
92	571
91	576
90	583
88	586
87	590
86	595
85	596
84	599
83	601
82	605
81	606
80	613
79	614
78	616
77	619
76	621
75	625
74	630
73	634
72	638
71	639
70	643
69	649
68	651
67	655
66	662
65	665
64	670
63	672
62	675
61	679
60	682
59	684
58	685
57	689
56	692
55	696
54	699
53	709
52	715
51	720
50	727
49	730
48	733
47	739
46	745
45	747
44	750
43	754
42	755
41	762
40	772
39	779
38	782
37	784
36	796
35	802
34	808
33	821
32	827
31	834
30	849
29	856
28	865
27	872
26	876
25	882
24	892
23	903
22	915
21	923
20	931
19	947
18	958
17	978
16	987
15	1002
14	1020
13	1042
12	1068
11	1090
10	1122
9	1151
8	1190
7	1229
6	1276
5	1339
4	1395
3	1475
2	1629
1	1813
0	3636
