item,logprob
anE,-3.55814
Aea,-4.314618
OrA,-3.5148850000000005
irE,-3.725759
Eku,-4.467383
atU,-3.5434210000000004
hiA,-3.2960140000000004
Imo,-4.496711
omO,-4.285468
wAi,-3.0334659999999998
IwE,-4.411344000000001
atE,-3.7775800000000004
ikU,-4.2107470000000005
epA,-4.265051000000001
ANU,-4.400845
awi,-4.333891
peu,-4.0118860000000005
ANA,-3.122089
Oru,-3.734113
AhE,-3.8428700000000005
NOu,-4.173174
Ure,-3.410356
OhI,-3.2921390000000006
aiE,-4.757679
upU,-4.165877
OfI,-4.860868
enu,-4.207444000000001
Opu,-4.355138
iao,-4.659416
Uni,-3.687074
Ihe,-3.922988
Ine,-3.3607390000000006
nia,-3.2942610000000005
Ahe,-3.8428700000000005
une,-3.9012410000000006
uaA,-5.139007
huI,-3.512365
Ane,-3.55814
mIi,-4.466141
Ihu,-4.173983000000001
OhE,-3.6506050000000005
Oni,-3.788106
ihU,-4.173983000000001
EhE,-3.5865110000000007
kAu,-2.6303419999999997
Apa,-3.567464
otU,-3.8352950000000003
IwA,-3.5438550000000006
Awa,-3.2457909999999996
etA,-4.104799
reU,-3.7678150000000006
oau,-4.738440000000001
ImO,-4.496711
epo,-4.6382520000000005
ONU,-5.182165
One,-3.8951130000000003
iAu,-4.777654
kaO,-3.1262369999999997
Iwe,-4.411344000000001
Aeo,-5.7337110000000004
Ofa,-4.647284
UkE,-3.655639
ApU,-3.61172
aii,-4.995907
owA,-4.428128
IkA,-3.6548740000000004
Aue,-4.674731
orE,-3.2553859999999997
upO,-4.458624
Amo,-3.92758
uno,-4.4230290000000005
OpO,-4.406204
enI,-4.170561
nue,-4.916538
epE,-4.568368
feu,-4.202898
Owi,-5.044338000000001
etI,-3.9240060000000003
Ire,-3.725759
tOA,-3.271516
AhU,-3.3570590000000005
eme,-4.800581
erU,-3.962765
IwI,-3.850859
unO,-4.4230290000000005
fAo,-3.7863890000000007
oeA,-5.1176070000000005
uii,-5.313623000000001
aiO,-4.049919
inE,-3.3607390000000006
Ira,-3.616967
upi,-4.459132
epi,-4.545063
OmO,-4.285468
Noa,-4.195447000000001
Oua,-4.190964
ahO,-3.868963
