item,logprob
anE,-3.626396
Aea,-4.373649
OrA,-3.702677
irE,-3.846624
Eku,-4.939489
atU,-3.585464
hiA,-3.356221
Imo,-5.349638
omO,-4.511272
wAi,-3.081482
IwE,-4.728806
atE,-3.830114
ikU,-4.595716
epA,-4.730308
ANU,-4.40921
awi,-4.408259
peu,-4.065941
ANA,-3.132689
Oru,-3.817159
AhE,-3.98406
NOu,-4.174039
Ure,-3.430031
OhI,-3.312717
aiE,-4.885161
upU,-4.379149
OfI,-6.466176
enu,-4.232115
Opu,-4.882448
iao,-4.694103
Uni,-3.697792
Ihe,-4.256264
Ine,-3.34858
nia,-3.313378
Ahe,-3.98406
une,-3.949974
uaA,-6.139547
huI,-3.543727
Ane,-3.626396
mIi,-5.101005
Ihu,-4.397711
OhE,-3.702501
Oni,-4.12153
ihU,-4.397711
EhE,-3.618866
kAu,-2.621343
Apa,-3.676157
otU,-4.049489
IwA,-3.61576
Awa,-3.295767
etA,-4.579163
reU,-3.783674
oau,-5.02337
ImO,-5.349638
epo,-5.2295
ONU,-5.486624
One,-3.90544
iAu,-5.30142
kaO,-3.130405
Iwe,-4.728806
Aeo,-5.98873
Ofa,-6.35843
UkE,-3.815809
ApU,-3.693206
aii,-5.637455
owA,-6.033121
IkA,-3.848401
Aue,-4.857065
orE,-3.329651
upO,-4.945846
Amo,-4.001477
uno,-4.718115
OpO,-4.829429
enI,-4.227442
nue,-5.27683
epE,-4.854725
feu,-4.229835
Owi,-6.628525
etI,-4.107179
Ire,-3.846624
tOA,-3.30702
AhU,-3.402095
eme,-5.113555
erU,-4.01407
IwI,-3.866155
unO,-4.718115
fAo,-3.814835
oeA,-5.239789
uii,-6.215848
aiO,-4.502395
inE,-3.34858
Ira,-3.721001
upi,-5.186705
epi,-5.053904
OmO,-4.511272
Noa,-4.250879
Oua,-4.215863
ahO,-4.005892
nOi,-3.874006
eNu,-5.663141
tAe,-3.360567
ome,-5.760005
paI,-2.968849
nAi,-3.617344
UpA,-5.075391
eNU,-5.663141
kEa,-3.048413
puA,-2.615279
eaa,-7.53189
opo,-4.829429
AwE,-3.51426
awE,-3.51426
oNu,-5.486624
auA,-3.350482
ItI,-3.344807
unA,-3.307365
tUa,-2.802353
InI,-3.234052
UrA,-3.584352
ONO,-5.034657
OtI,-3.557674
ofi,-6.466176
Ome,-5.760005
Awi,-4.408259
ENe,-5.886175
kiO,-3.467132
ItU,-4.291644
aiu,-4.522101
Eka,-3.757086
aNU,-4.40921
pAu,-3.173656
AkE,-3.384672
Eko,-4.26274
irU,-4.983522
ire,-3.846624
uko,-4.453268
kIi,-4.841361
mie,-4.348711
Ero,-3.830765
rOi,-3.241784
iwA,-3.61576
iwI,-3.866155
eoA,-5.785846
uNi,-5.77398
tEa,-2.939835
Iwi,-3.866155
epu,-4.788274
eha,-3.895253
IkI,-3.511461
uti,-3.946599
koA,-3.366343
imA,-4.903303
enA,-3.677622
iwe,-4.728806
upE,-4.749671
irI,-3.328374
ape,-3.967422
Afu,-4.99755
ErE,-3.361044
etO,-5.139816
IrI,-3.328374
tiU,-3.828827
Otu,-4.049489
ekA,-3.757086
pie,-4.361344
UNu,-6.440214
kOi,-3.254998
oae,-5.378282
Ohe,-3.702501
pUa,-2.615279
epO,-5.2295
OhO,-3.603222
rIi,-4.983656
kOu,-3.09153
eae,-6.679549
orO,-3.249144
uhE,-4.446738
oeo,-6.228029
etE,-4.400306
uNu,-6.440214
Upu,-4.379149
eto,-5.139816
AwI,-4.408259
AkU,-3.597493
ipi,-4.548785
taI,-2.759126
Ano,-3.749733
ume,-3.929959
OkO,-3.444187
uae,-5.287206
onO,-3.590865
emu,-4.744614
ihE,-4.256264
aNu,-4.40921
eaA,-7.53189
Ini,-3.234052
otA,-3.748378
keA,-3.048413
apI,-3.600439
Iro,-3.715612
Imi,-4.812936
pEi,-3.595005
Oio,-5.599635
Onu,-3.911336
Ino,-3.580903
ahE,-3.98406
NAo,-4.212645
Eru,-4.01407
OnI,-4.12153
Etu,-4.613982
afu,-4.99755
rAu,-2.96126
hAo,-3.316433
aie,-4.885161
Ore,-3.329651
aAe,-6.201731
Ani,-3.492258
ahU,-3.402095
ItO,-4.2866
unE,-3.949974
pEa,-3.221084
hAe,-3.193369
Epo,-5.2295
OnE,-3.90544
teU,-4.021941
ENi,-4.578165
OwA,-6.033121
heA,-2.909951
maA,-4.447554
ikE,-4.061046
fEa,-2.988252
pUA,-2.615279
Uru,-3.234184
opE,-4.642789
kaU,-2.621343
opO,-4.829429
ufe,-4.2917
upe,-4.749671
ONa,-3.941575
UkO,-4.453268
eNo,-5.211174
nUmu,-5.680108
Uafu,-7.897058
kApI,-3.531237
pikE,-4.017319
humo,-5.68198
pAfi,-4.879793
Urii,-6.361407
AkiA,-4.312586
meNU,-5.739453
wOpI,-5.435768
UNeo,-8.457072
oupo,-6.490741
UrAA,-6.987049
rIwi,-4.704121
oumi,-7.121052
pAwI,-5.338605
OAno,-6.07658
pefO,-6.52963
OhOi,-4.553906
NAmi,-5.694996
imAI,-5.861616
Aape,-7.140268
OAka,-5.111927
fInA,-4.037267
NikA,-5.266393
AiwE,-6.220571
utOI,-5.710863
eife,-7.593022
upio,-7.020889
wIpu,-5.313052
AanO,-6.900028
wurI,-5.503833
fihE,-4.975287
IrIi,-6.297481
Iwea,-5.605118
ofAO,-7.879568
NOto,-5.099941
OkAI,-4.941605
Iwie,-5.976265
hEha,-4.425835
wuri,-5.503833
OtOI,-4.952824
rAwI,-4.838265
UaNu,-6.486145
NAme,-5.651346
wewE,-5.344737
niNA,-4.448622
wEni,-4.223568
NAiE,-5.808972
ONoe,-7.013165
IrAA,-7.123698
nIno,-4.902472
eIho,-6.307598
witI,-3.483851
NUta,-5.191377
oaiE,-7.17106
aema,-6.802872
AfiU,-5.116171
pIhu,-4.601438
mEri,-4.103814
wEnu,-4.22824
ahEa,-4.654273
nEhE,-4.07279
ehuI,-5.16971
AmAo,-4.62184
iNii,-7.100376
Omou,-5.932843
tImu,-4.066345
uirE,-5.444616
EpEO,-6.785258
NaeA,-4.849157
ApOI,-5.009291
neNu,-6.208188
tuei,-5.441218
apaI,-4.718753
hUku,-4.065198
hOre,-3.423469
Aeni,-5.960861
tukE,-3.81491
etOu,-5.985098
wAiE,-5.127165
tANI,-3.714357
upaI,-6.117987
mini,-3.52475
wEhE,-3.651254
NEni,-5.21039
mAtO,-3.696007
iAfa,-7.114537
ewea,-6.261462
eEtu,-7.29125
Eheu,-5.497019
Aiha,-4.67051
eaNi,-7.415979
UnoA,-6.264994
punE,-3.850552
fEfa,-5.191717
EreU,-5.21035
EtOI,-6.253202
fakI,-3.616091
nInI,-4.555621
ikOi,-5.419094
nEhu,-4.235657
Aanu,-6.805958
tifi,-4.062165
Irui,-6.324892
fouA,-5.721855
uerE,-5.62795
aoku,-6.447314
OAiE,-7.17106
rupo,-5.028664
pOfe,-6.684893
Ataa,-5.032903
uaNI,-6.023635
onoA,-5.137744
wOnE,-5.358297
ikoA,-5.530439
wEtO,-4.667429
rUNU,-6.523032
aepI,-6.778922
haeo,-5.374152
ikou,-5.255625
onOu,-5.060905
tOpE,-4.223805
rIkA,-4.089617
mIra,-3.63284
itUA,-5.041881
upeu,-6.53682
Aniu,-5.533063
nihU,-4.836849
ArIi,-6.044684
aerU,-5.747624
nOhI,-3.783044
Anoa,-5.296613
enio,-6.248542
eiwE,-7.259438
mONO,-5.289088
nOro,-4.021544
puaU,-4.648484
AtaI,-4.313062
nAwI,-5.112538
toAi,-4.946186
ekEa,-4.268915
UkaI,-5.268197
opui,-6.003405
reUa,-5.537154
nIkA,-4.409289
ItOA,-5.482445
oarE,-5.161719
uhai,-5.503234
nOwi,-7.044381
AerI,-5.6588
NUNA,-4.988235
apOI,-5.009291
nAiE,-5.663027
rONU,-5.703528
UkAI,-5.268197
nunE,-5.759869
furi,-5.335827
Nehi,-4.646276
NONU,-6.251292
wifa,-5.550458
mApi,-4.166767
ekoa,-5.679283
uaeA,-5.852907
kIfa,-4.848795
Numo,-6.420235
Ootu,-7.283565
NauI,-5.129475
utEA,-5.035316
rinE,-4.278
wOue,-6.550127
auhU,-5.348123
umAI,-4.757008
tuAi,-4.937565
howi,-6.496491
uhOu,-5.433087
nAfI,-5.174085
aehi,-5.387488
winE,-4.655815
raNI,-4.027165
OuaU,-6.249068
mEni,-4.264818
kUro,-5.124688
Nipo,-6.093711
UaNe,-7.782231
Urio,-5.226347
mAko,-3.707796
ofEa,-7.080263
wUra,-5.695884
nIrI,-4.267877
itaI,-5.133238
nEri,-4.84725
oera,-6.109541
ONue,-7.334936
NuNA,-4.988235
ONAe,-6.205641
OAke,-5.310971
otEA,-5.111962
AkaU,-4.052077
raNE,-5.785761
hOke,-3.798659
Iheo,-5.601788
uaiE,-7.079983
erIi,-6.894352
aAha,-6.49109
AkUI,-4.701603
fafu,-6.495498
amIi,-7.121844
kOkE,-3.707519
OAkO,-5.624713
kuaA,-6.303393
OotI,-6.791749
eina,-5.141281
fefO,-6.693524
kinI,-3.714554
eNaO,-6.100573
rEro,-3.89549
NoNA,-4.706242
AakI,-6.223826
muNi,-6.236903
nopo,-5.245286
hItU,-4.545014
Nufe,-6.498989
rerI,-3.989971
opOI,-5.810418
kitO,-4.318917
fOno,-5.614772
ANea,-6.51088
Niwe,-6.650243
moeo,-5.496152
hEpi,-5.051467
OAki,-5.07141
Aupu,-5.165925
aoNu,-7.76872
fEre,-3.456605
eEra,-6.822492
orIi,-6.436776
nutE,-5.994382
tItA,-4.037653
anaA,-5.877321
Urowe,-9.057399
Uniko,-5.971377
wIheo,-6.637181
mAhOu,-4.835315
EpakU,-6.393422
eaiAo,-8.455673
iuaiE,-10.09141
aAihi,-6.921709
wOpOI,-6.745361
upawI,-8.487743
pOkAI,-4.813903
tAatO,-5.876166
nEtue,-6.284153
ufafu,-8.104887
eaipU,-8.994648
eikUI,-7.727012
moNue,-7.589367
uNeNi,-8.771525
rOkeA,-5.180678
paaNI,-6.895867
ImEpi,-8.190128
noane,-6.369099
ENaAu,-8.210254
Nouhu,-6.870909
iNonE,-6.569356
afanE,-5.534045
arEhE,-5.158858
unArE,-5.667003
mUmOu,-7.477702
hUtaI,-5.107042
ihEri,-5.959358
kaanE,-7.217758
wureU,-7.390869
OheNu,-7.123467
rOpOI,-6.027322
NukAI,-6.55321
Erewi,-6.772876
pEorI,-6.06946
pAnOu,-5.348435
kOnie,-6.827265
omipu,-7.035254
kINau,-5.229368
OiauE,-8.176673
ONUti,-7.669834
UkahI,-5.415327
amApU,-5.902454
ahekI,-6.086739
fiuiA,-6.843648
UrUta,-5.576102
OtAue,-6.913669
tIfea,-5.459636
pUtio,-5.948333
NunAe,-6.49797
ImuhU,-7.366536
ouaaa,-9.850104
paaiE,-7.952215
apefO,-8.218261
UrApI,-5.519734
awAkU,-5.342777
pupAu,-5.693103
hikIi,-6.516718
IhAmi,-6.676525
rahuI,-5.108368
tAifO,-7.340468
ouomO,-8.917724
oufAi,-7.620974
eiafa,-8.74147
OwiwI,-9.211394
OotoA,-8.269359
tiroA,-5.187573
tIeNU,-7.776417
kEiaA,-8.020986
Owanu,-8.169296
AitOI,-6.411077
hoaoA,-6.149011
orEwe,-6.443778
kOnoi,-5.411552
apiui,-7.938085
uaAfu,-10.29084
pofae,-7.181376
eNUhe,-8.619877
pAumo,-6.839655
ahUhO,-6.572761
OrUke,-5.661176
OrIhu,-6.148315
mIeke,-6.148955
hIkeu,-6.442757
fAepe,-5.950589
Aiwea,-7.096883
EnawI,-6.7861
OtaNu,-6.173595
hemAI,-5.480047
hiNoA,-6.121931
eriNA,-5.297352
NakaU,-4.949609
hAuii,-7.509391
NaurE,-5.660304
koNoU,-6.360303
iumoI,-9.840534
etinI,-5.86729
iwEki,-6.594953
OAteU,-7.16132
EnaNI,-6.212489
ufANI,-5.722059
eweNU,-8.64913
kOutu,-5.298958
pEiNa,-5.513196
OipUA,-7.009386
ewauE,-8.28937
imAmO,-7.206201
nErue,-6.983932
pEofe,-8.992291
imutO,-7.29195
remue,-6.393211
ONUpO,-8.210492
rUtAa,-6.174485
meAnO,-7.45416
awiwE,-7.853779
uhaiE,-7.548917
kowea,-7.087264
ImOne,-7.278956
wAhIi,-6.643562
wOpEO,-7.508265
epEmu,-7.26616
poifA,-6.477851
niehA,-7.154725
IkikO,-5.906225
aNene,-7.043459
wapEO,-7.162665
ENiwE,-8.486409
ENifI,-7.755741
pOpaI,-5.584963
eNaNE,-8.185745
wahIi,-6.643562
unAnA,-4.863054
ueuta,-8.994573
omaAi,-8.472954
OukuI,-6.833069
foukO,-7.96214
itUwI,-8.893246
aNEnE,-7.043459
Awita,-5.992446
eNefO,-10.00031
ErapU,-5.796414
Ukepu,-6.774914
kIore,-4.920424
opANu,-7.219311
maaNO,-6.905596
Afuiu,-8.315714
NAiwI,-6.281731
uhukO,-6.466009
eomAI,-7.911001
nUmeo,-7.784652
ImEni,-7.324729
ErAwA,-5.620105
ikEme,-7.345432
OtaNI,-5.711085
uiteU,-7.840072
tIahu,-5.685577
omErE,-6.712085
tUkEA,-4.747598
kUtOI,-5.838761
ipupo,-7.024957
uakie,-6.747298
ekUte,-7.274258
owAmo,-9.3593
ImEnA,-6.774909
enekE,-5.083959
mofAO,-8.133999
fiAma,-6.521638
NOotU,-8.048232
AfaNi,-5.664875
NOpEO,-7.33799
NuunO,-8.886822
topIi,-7.051085
EhehO,-6.895513
wAiwI,-5.599924
tAinE,-4.492789
oNONo,-8.105457
Omiko,-6.729987
OfIri,-7.414413
ahIue,-8.130002
Imuri,-6.074478
hIewI,-8.109646
AfAeA,-5.2967
nUpEO,-7.886744
kiOmo,-6.337647
eIhoA,-7.242818
rUriU,-5.355194
wakUI,-5.24894
hiUrA,-7.132724
Iwepe,-6.6493
eaifI,-9.077069
noAtO,-5.927863
noepE,-7.234898
ienie,-9.231848
ErANI,-5.921497
epUmu,-7.032602
opeNU,-7.972751
fEawe,-7.07128
AnOkI,-5.708112
wEneA,-4.856352
nekIi,-7.570244
utAwE,-6.369184
pENaO,-6.046184
kuIhu,-5.492667
NeipU,-7.047239
Iteru,-6.339802
iwiti,-4.669386
otErE,-5.54342
EpufI,-7.950127
omofe,-9.270516
iowaA,-11.35481
Okoie,-7.273636
poiNO,-6.213243
ahekU,-7.078715
hUnao,-5.517658
nimei,-7.293587
tUNoa,-7.412478
tUAmo,-6.320877
tOami,-6.610631
EkerO,-5.207492
nuaiO,-7.39293
enofi,-9.069287
iwIpU,-6.498587
uneNu,-7.771876
huomO,-7.461602
ItIfi,-5.573981
AirAu,-5.819418
wEpEO,-6.209775
rArUa,-4.741512
ameAo,-8.336482
NApui,-6.068734
pEpEO,-5.754258
iwirE,-5.463014
UareU,-6.868469
oNUho,-8.502289
UahIi,-8.588675
AwIwI,-6.991128
rUhAu,-5.308404
iwawE,-5.268906
UrIia,-5.810034
okEru,-5.524941
piaao,-8.043554
OmOmA,-6.295375
ukIho,-6.546832
UrIfa,-6.368841
apuhU,-5.576299
ufahe,-6.448439
hUorO,-6.556017
AakIi,-9.138532
EiNAu,-7.188287
tiNoU,-6.132522
AiakE,-6.092393
wAmao,-6.044362
Naefu,-8.680913
NEkEi,-5.898793
Ehaho,-6.453525
inohU,-5.221341
Oweru,-8.023828
eonoA,-7.955293
tuoke,-6.704795
unife,-7.770652
ukIro,-5.685394
AuNAo,-7.14124
afeNU,-7.35213
EpuNe,-9.222281
AtEme,-6.611508
iaerO,-7.412704
kANOo,-7.343514
OnutE,-7.294131
inaNI,-5.581269
eEteU,-8.865742
uhOnI,-6.623659
UnoNU,-8.265407
umeta,-5.997904
pIhIa,-4.710431
eomio,-8.429802
Uarae,-6.257586
tUAme,-6.558361
aikIi,-7.297902
eoeiA,-9.038798
iniei,-7.208699
puAno,-5.701694
IrawE,-5.791333
oapEO,-8.247353
IreNU,-6.927232
aorAo,-7.157203
fipie,-6.943001
pApOi,-5.248061
irawi,-6.685332
hEaoA,-7.474477
aunOu,-7.068461
Eiati,-7.629695
itIhA,-5.789698
ENapa,-6.818656
inEti,-4.819594
amUhi,-5.8247
