item,logprob
anE,-4.009521
Aea,-5.28924
OrA,-3.776331
irE,-4.345633
Eku,-4.824306
atU,-3.954138
hiA,-2.376683
Imo,-6.17266
omO,-4.670075
wAi,-2.872948
IwE,-5.063128
atE,-4.088762
ikU,-5.001669
epA,-5.44237
ANU,-5.239796
awi,-5.144442
peu,-5.608107
ANA,-3.485539
Oru,-4.124742
AhE,-3.918368
NOu,-4.924537
Ure,-3.927987
OhI,-3.651643
aiE,-5.773984
upU,-4.98532
OfI,-5.453336
enu,-4.665968
Opu,-5.015562
iao,-5.650241
Uni,-4.279582
Ihe,-4.83594
Ine,-3.71812
nia,-3.59295
Ahe,-3.918368
une,-4.59678
uaA,-7.1478
huI,-3.221916
Ane,-4.009521
mIi,-6.016663
Ihu,-4.929519
OhE,-4.194829
Oni,-4.507122
ihU,-4.929519
EhE,-4.038172
kAu,-2.925934
Apa,-3.830949
otU,-4.658068
IwA,-4.238085
Awa,-3.449392
etA,-4.604293
reU,-4.99503
oau,-6.04024
ImO,-6.17266
epo,-6.188543
ONU,-7.133952
One,-4.146799
iAu,-6.117134
kaO,-3.32854
Iwe,-5.063128
Aeo,-7.227002
Ofa,-6.26168
UkE,-4.368868
ApU,-3.931602
aii,-6.481871
owA,-5.737552
IkA,-4.703581
Aue,-4.950486
orE,-3.599934
upO,-5.430338
Amo,-4.523675
uno,-5.70235
OpO,-5.487113
enI,-4.976324
nue,-5.800856
epE,-5.943928
feu,-5.493943
Owi,-6.491849
etI,-4.117391
Ire,-4.345633
tOA,-3.462992
AhU,-3.573903
eme,-5.586201
erU,-4.974345
IwI,-4.33745
unO,-5.70235
fAo,-3.37372
oeA,-4.990459
uii,-7.142479
aiO,-4.768975
inE,-3.71812
Ira,-3.859251
upi,-5.717514
epi,-6.063747
OmO,-4.670075
Noa,-3.908677
Oua,-5.014863
ahO,-3.980533
nOi,-4.602228
eNu,-6.038696
tAe,-3.273641
ome,-5.388813
paI,-3.107255
nAi,-4.36678
UpA,-4.949686
eNU,-6.038696
kEa,-3.651881
puA,-2.743156
eaa,-8.369607
opo,-5.487113
AwE,-4.126063
awE,-4.126063
oNu,-7.133952
auA,-3.858767
ItI,-4.027917
unA,-3.777888
tUa,-2.576004
InI,-3.568794
UrA,-3.720212
ONO,-4.700202
OtI,-3.855029
ofi,-5.453336
Ome,-5.388813
Awi,-5.144442
ENe,-5.327418
kiO,-4.153099
ItU,-4.853373
aiu,-5.43391
Eka,-4.432702
aNU,-5.239796
pAu,-3.293781
AkE,-3.89637
Eko,-4.786511
irU,-4.501758
ire,-4.345633
uko,-5.031596
kIi,-5.864766
mie,-5.308776
Ero,-4.4706
rOi,-3.95859
iwA,-4.238085
iwI,-4.33745
eoA,-6.466456
uNi,-4.759884
tEa,-2.907529
Iwi,-4.33745
epu,-5.680031
eha,-4.719257
IkI,-4.128664
uti,-4.07959
koA,-3.061564
imA,-5.381227
enA,-3.968912
iwe,-5.063128
upE,-5.382439
irI,-3.445072
