item,logprob
anE,-3.998208
Aea,-5.051192
OrA,-3.823437
irE,-4.594107
Eku,-5.236324
atU,-3.762089
hiA,-3.609283
Imo,-5.320863
omO,-5.218618
wAi,-2.447076
IwE,-6.2414
atE,-3.863373
ikU,-4.759358
epA,-5.370633
ANU,-5.809994
awi,-4.472435
peu,-5.560424
ANA,-3.431543
Oru,-4.021217
AhE,-4.414046
NOu,-4.99022
Ure,-3.740258
OhI,-3.846246
aiE,-5.055189
upU,-4.471005
OfI,-4.877156
enu,-5.566404
Opu,-4.661741
iao,-6.024718
Uni,-5.116329
Ihe,-4.347191
Ine,-4.923041
nia,-4.714105
Ahe,-4.414046
une,-4.921077
uaA,-6.662219
huI,-2.804512
Ane,-3.998208
mIi,-5.362045
Ihu,-4.087508
OhE,-3.898817
Oni,-4.659586
ihU,-4.087508
EhE,-4.85755
kAu,-2.796964
Apa,-4.292442
otU,-4.178251
IwA,-4.616341
Awa,-3.574966
etA,-5.047968
reU,-4.927796
oau,-5.022567
ImO,-5.320863
epo,-5.258214
ONU,-6.182555
One,-4.473344
iAu,-5.453362
kaO,-3.477807
Iwe,-6.2414
Aeo,-5.858447
Ofa,-4.935341
UkE,-5.403522
ApU,-4.637449
aii,-6.275087
owA,-4.816493
IkA,-4.287064
Aue,-4.399745
orE,-3.543866
upO,-4.360119
Amo,-4.346084
uno,-5.938092
OpO,-4.526434
enI,-5.184966
nue,-5.617927
epE,-5.485633
feu,-5.568766
Owi,-4.633314
etI,-5.157853
Ire,-4.594107
tOA,-2.797256
AhU,-3.586835
eme,-6.903388
erU,-4.867574
IwI,-4.244169
unO,-5.938092
fAo,-4.18139
oeA,-4.542176
uii,-7.056678
aiO,-4.872873
inE,-4.923041
Ira,-4.667511
upi,-4.674208
epi,-5.581451
OmO,-5.218618
Noa,-4.636727
Oua,-4.502566
ahO,-4.474288
nOi,-4.783263
eNu,-6.489267
tAe,-3.141296
ome,-6.151405
paI,-3.009943
nAi,-4.291757
UpA,-3.804191
eNU,-6.489267
kEa,-3.591199
puA,-2.81142
eaa,-7.017677
opo,-4.526434
AwE,-4.232456
awE,-4.232456
oNu,-6.182555
auA,-3.864751
ItI,-4.440763
unA,-4.387668
tUa,-2.582802
InI,-4.636894
UrA,-3.494701
ONO,-4.523169
OtI,-4.616354
ofi,-4.877156
Ome,-6.151405
Awi,-4.472435
ENe,-6.029804
kiO,-3.536217
ItU,-5.706284
aiu,-5.520857
Eka,-4.332731
aNU,-5.809994
pAu,-3.094548
AkE,-3.465968
Eko,-4.999059
irU,-4.632397
ire,-4.594107
uko,-5.282078
kIi,-5.452487
mie,-4.723834
Ero,-4.416669
rOi,-3.749535
iwA,-4.616341
iwI,-4.244169
eoA,-5.689934
uNi,-5.188939
tEa,-2.912567
Iwi,-4.244169
epu,-6.200998
eha,-5.203266
IkI,-3.995012
uti,-4.309073
koA,-2.753548
imA,-5.273142
enA,-4.900755
iwe,-6.2414
upE,-4.434433
irI,-3.927554
ape,-4.995523
Afu,-6.597908
ErE,-4.283834
etO,-5.641475
IrI,-3.927554
tiU,-4.332286
Otu,-4.178251
ekA,-4.332731
pie,-4.373186
UNu,-6.518423
kOi,-2.738867
oae,-5.47405
Ohe,-3.898817
pUa,-2.81142
epO,-5.258214
OhO,-4.455005
rIi,-5.54561
kOu,-2.818361
eae,-6.192987
orO,-3.177915
uhE,-4.883974
oeo,-5.732761
etE,-4.737262
uNu,-6.518423
Upu,-4.471005
eto,-5.641475
AwI,-4.472435
AkU,-3.69162
ipi,-4.716249
taI,-2.557102
Ano,-4.13284
ume,-6.568854
OkO,-4.014784
uae,-5.837528
onO,-4.412484
emu,-5.668002
ihE,-4.347191
aNu,-5.809994
eaA,-7.017677
Ini,-4.636894
otA,-4.100878
keA,-3.591199
apI,-5.103081
Iro,-4.240696
Imi,-5.117577
pEi,-4.670811
Oio,-4.749098
Onu,-5.547973
Ino,-5.053885
ahE,-4.414046
NAo,-4.099939
Eru,-4.867574
OnI,-4.659586
Etu,-5.494475
afu,-6.597908
rAu,-2.827524
hAo,-4.350527
aie,-5.055189
Ore,-3.543866
aAe,-6.143252
Ani,-3.992767
ahU,-3.586835
ItO,-4.909701
unE,-4.921077
pEa,-4.057582
hAe,-3.221079
Epo,-5.258214
OnE,-4.473344
teU,-5.266277
ENi,-5.159783
OwA,-4.816493
heA,-3.878815
maA,-4.586365
ikE,-5.773984
fEa,-4.065924
pUA,-2.81142
Uru,-3.404377
opE,-4.909137
kaU,-2.796964
opO,-4.526434
ufe,-5.587981
upe,-4.434433
ONa,-4.156208
UkO,-5.282078
eNo,-5.196019
nUmu,-5.870376
Uafu,-9.657001
kApI,-4.288917
pikE,-5.181362
humo,-5.783196
pAfi,-5.136752
Urii,-6.515125
AkiA,-4.429026
meNU,-6.838042
wOpI,-8.079045
UNeo,-7.75758
oupo,-5.887054
UrAA,-6.39195
rIwi,-4.540512
oumi,-6.714924
pAwI,-5.381831
OAno,-5.38707
pefO,-8.720848
OhOi,-4.910035
NAmi,-5.940042
imAI,-5.691562
Aape,-7.324943
OAka,-4.836459
fInA,-4.258193
NikA,-5.057256
AiwE,-7.267221
utOI,-4.97975
eife,-8.686496
upio,-5.52728
wIpu,-6.15396
AanO,-6.826017
wurI,-7.176039
fihE,-5.880653
IrIi,-6.975936
Iwea,-7.051824
ofAO,-6.701414
NOto,-6.152366
OkAI,-4.965432
Iwie,-6.636023
hEha,-5.230178
wuri,-7.176039
OtOI,-4.822577
rAwI,-4.903939
UaNu,-7.57796
NAme,-6.675353
wewE,-5.735719
niNA,-5.274875
wEni,-4.946647
NAiE,-5.603995
ONoe,-6.53755
IrAA,-7.564761
nIno,-6.011091
eIho,-7.116313
witI,-5.127246
NUta,-4.438013
oaiE,-6.715408
aema,-7.002473
AfiU,-5.738145
pIhu,-4.215719
mEri,-5.095907
wEnu,-5.328086
ahEa,-5.652536
nEhE,-5.73373
ehuI,-5.551051
AmAo,-4.837888
iNii,-7.8556
Omou,-6.468958
tImu,-4.460307
uirE,-6.401518
EpEO,-7.248994
NaeA,-6.138524
ApOI,-6.228524
neNu,-7.365447
tuei,-5.91526
apaI,-5.238052
hUku,-4.363
hOre,-3.711398
Aeni,-6.384254
tukE,-4.299745
etOu,-6.492981
wAiE,-4.228921
tANI,-2.78521
upaI,-4.7498
mini,-4.749673
wEhE,-4.619232
NEni,-6.011688
mAtO,-3.92737
