item,logprob
anE,-4.292227
Aea,-5.840886
OrA,-5.620793
irE,-4.538354
Eku,-5.24134
atU,-4.281964
hiA,-7.168761
Imo,-5.347376
omO,-5.237759
wAi,-6.04852
IwE,-5.067826
atE,-4.375321
ikU,-4.816741
epA,-6.712175
ANU,-5.313706
awi,-4.638686
peu,-5.616745
ANA,-6.065567
Oru,-4.255858
AhE,-4.22418
NOu,-4.796034
Ure,-3.897865
OhI,-3.917116
aiE,-5.792538
upU,-4.761799
OfI,-4.872052
enu,-4.646785
Opu,-4.669697
iao,-6.218213
Uni,-4.440775
Ihe,-4.56482
Ine,-3.943996
nia,-3.794286
Ahe,-4.22418
une,-4.420094
uaA,-5.986527
huI,-3.679243
Ane,-4.400828
mIi,-6.91315
Ihu,-4.78444
OhE,-4.078255
Oni,-4.270442
ihU,-4.78444
EhE,-4.47976
kAu,-4.536407
Apa,-4.423159
otU,-5.08844
IwA,-5.448109
Awa,-4.718451
etA,-6.339518
reU,-4.830813
oau,-6.198565
ImO,-5.347376
epo,-5.38526
ONU,-6.031583
One,-4.377091
iAu,-7.079976
kaO,-3.460804
Iwe,-5.067826
Aeo,-6.474023
Ofa,-5.730171
UkE,-4.367638
ApU,-4.566971
aii,-6.988123
owA,-6.167836
IkA,-5.774869
Aue,-5.576529
orE,-3.670632
upO,-5.052317
Amo,-4.870512
uno,-4.995523
OpO,-4.893196
enI,-5.043746
nue,-6.349962
epE,-4.849925
feu,-4.285189
Owi,-5.292967
etI,-4.6632
Ire,-4.538354
tOA,-4.852374
AhU,-4.09461
eme,-5.215611
erU,-5.163173
IwI,-4.460922
unO,-4.995523
fAo,-5.128142
oeA,-6.810195
uii,-8.172752
aiO,-5.294358
inE,-3.943996
Ira,-4.201529
upi,-5.381892
epi,-5.517977
OmO,-5.237759
Noa,-4.401714
Oua,-4.880945
ahO,-4.265758
nOi,-4.45446
eNu,-5.589956
tAe,-4.556214
ome,-5.551725
paI,-3.455055
nAi,-5.199113
UpA,-5.729541
eNU,-5.589956
kEa,-3.633305
puA,-4.551762
eaa,-8.067579
opo,-4.893196
AwE,-5.096309
awE,-4.257717
oNu,-6.031583
auA,-5.033904
ItI,-4.567147
unA,-5.298015
tUa,-2.580425
InI,-3.785309
UrA,-5.512883
ONO,-4.824565
OtI,-4.624382
ofi,-4.872052
Ome,-5.551725
Awi,-5.243954
ENe,-5.084256
kiO,-4.447849
ItU,-5.437018
aiu,-5.775247
Eka,-4.760593
aNU,-5.336323
pAu,-4.610231
AkE,-4.221215
Eko,-4.932797
irU,-4.745344
ire,-4.538354
uko,-5.037554
kIi,-5.622733
mie,-4.963143
Ero,-4.841243
rOi,-4.191827
iwA,-5.448109
iwI,-4.460922
eoA,-8.586445
uNi,-4.360317
tEa,-3.24724
Iwi,-4.460922
epu,-5.398485
eha,-4.92905
IkI,-4.017495
uti,-4.376181
koA,-4.980026
imA,-6.44759
enA,-5.636559
iwe,-5.067826
upE,-4.854981
irI,-3.763238
ape,-4.536815
Afu,-8.873664
ErE,-4.191459
etO,-5.28506
IrI,-3.763238
tiU,-4.235002
Otu,-5.08844
ekA,-6.7735
pie,-4.895369
UNu,-4.765008
kOi,-3.15407
oae,-7.063168
Ohe,-4.078255
pUa,-2.829896
epO,-5.38526
OhO,-4.48387
rIi,-5.550445
kOu,-3.497314
eae,-6.521354
orO,-3.546505
uhE,-4.573122
oeo,-6.915906
etE,-4.587326
uNu,-4.765008
Upu,-4.761799
eto,-5.28506
AwI,-5.243954
AkU,-4.386752
ipi,-4.688366
taI,-3.032149
Ano,-4.923876
ume,-5.20743
OkO,-4.208202
uae,-5.824712
onO,-4.171838
emu,-5.146078
ihE,-4.56482
aNu,-5.336323
eaA,-10.18679
Ini,-3.785309
otA,-6.468927
keA,-5.114553
apI,-4.522989
Iro,-4.31342
Imi,-5.133047
pEi,-4.04976
Oio,-5.42445
Onu,-4.613069
Ino,-4.140193
ahE,-4.254317
NAo,-5.199653
Eru,-5.163173
OnI,-4.270442
Etu,-5.221761
afu,-9.108164
rAu,-5.49904
hAo,-5.178151
aie,-5.792538
Ore,-3.670632
aAe,-10.0173
Ani,-4.363
ahU,-3.908592
ItO,-5.201008
unE,-4.420094
pEa,-3.464531
hAe,-5.100741
Epo,-5.38526
OnE,-4.377091
teU,-4.71853
ENi,-4.534039
OwA,-6.167836
heA,-6.35179
maA,-4.595023
ikE,-4.730461
fEa,-3.452067
pUA,-4.551762
Uru,-3.633391
opE,-4.548182
kaU,-3.235681
opO,-4.893196
ufe,-5.171413
upe,-4.854981
ONa,-4.223512
UkO,-5.037554
eNo,-5.211518
nUmu,-5.180361
Uafu,-10.84416
kApI,-4.719591
pikE,-4.587324
humo,-5.553503
pAfi,-4.59446
Urii,-6.544705
AkiA,-6.772823
meNU,-5.829069
wOpI,-6.788502
UNeo,-6.346485
oupo,-7.0508
UrAA,-11.0253
rIwi,-5.087768
oumi,-6.761522
pAwI,-5.053974
OAno,-8.574304
pefO,-7.801641
OhOi,-5.647151
NAmi,-5.746051
imAI,-7.813283
Aape,-8.898278
OAka,-8.45838
fInA,-6.783853
NikA,-8.509328
AiwE,-7.929753
utOI,-5.576917
eife,-9.518298
upio,-6.463976
wIpu,-7.180431
AanO,-8.819489
wurI,-4.972248
fihE,-6.356858
IrIi,-6.565226
Iwea,-5.506943
ofAO,-7.643778
NOto,-4.931509
OkAI,-7.455936
Iwie,-8.0618
hEha,-5.417047
wuri,-4.972248
OtOI,-5.63906
rAwI,-5.130238
UaNu,-6.930605
NAme,-6.190811
wewE,-5.18041
niNA,-7.82807
wEni,-5.28464
NAiE,-8.011592
ONoe,-6.85046
IrAA,-10.87809
nIno,-5.663997
eIho,-7.101332
witI,-4.996144
NUta,-5.00628
oaiE,-7.927905
aema,-8.008087
AfiU,-5.045831
pIhu,-4.77385
mEri,-5.138678
wEnu,-4.887679
ahEa,-4.82165
nEhE,-4.870036
ehuI,-5.745952
AmAo,-6.810373
iNii,-9.105033
Omou,-6.075978
tImu,-4.753945
uirE,-6.046301
EpEO,-6.323305
NaeA,-6.778614
ApOI,-5.491522
neNu,-6.391099
tuei,-6.351462
apaI,-5.062322
hUku,-3.966902
