item,logprob
anE,-6.258975
Aea,-5.724068
OrA,-7.442548
irE,-9.805105
Eku,-6.73348
atU,-3.913047
hiA,-9.738169
Imo,-9.672102
omO,-7.469819
wAi,-6.502459
IwE,-11.91606
atE,-8.810641
ikU,-8.809319
epA,-8.395061
ANU,-9.167759
awi,-5.448142
peu,-7.61157
ANA,-9.153105
Oru,-6.013737
AhE,-6.605482
NOu,-7.844946
Ure,-7.353826
OhI,-8.847518
aiE,-8.624627
upU,-6.121321
OfI,-11.1087
enu,-6.207846
Opu,-7.941354
iao,-5.376803
Uni,-9.670294
Ihe,-8.684038
Ine,-7.845333
nia,-5.484108
Ahe,-4.213096
une,-7.311854
uaA,-11.91707
huI,-7.865516
Ane,-5.107723
mIi,-9.333183
Ihu,-9.59522
OhE,-6.639187
Oni,-6.280061
ihU,-7.78973
EhE,-6.31826
kAu,-5.353161
Apa,-4.78915
otU,-6.715321
IwA,-9.057712
Awa,-4.443722
etA,-10.12989
reU,-9.914348
oau,-8.704884
ImO,-9.239458
epo,-8.484435
ONU,-9.539011
One,-6.49278
iAu,-9.112204
kaO,-6.20825
Iwe,-9.312005
Aeo,-5.400257
Ofa,-9.449273
UkE,-7.836331
ApU,-6.927503
aii,-7.969465
owA,-10.08397
IkA,-11.06218
Aue,-7.877382
orE,-8.838181
upO,-5.767571
Amo,-7.410275
uno,-7.578761
OpO,-7.039896
enI,-13.29357
nue,-6.990056
epE,-10.08999
feu,-5.022901
Owi,-8.836291
etI,-12.05968
Ire,-7.676579
tOA,-7.257084
AhU,-5.813643
eme,-7.565874
erU,-8.142346
IwI,-7.273461
unO,-7.755778
fAo,-7.234298
oeA,-7.993354
uii,-12.26366
aiO,-8.026427
inE,-7.998859
Ira,-6.797334
upi,-6.813147
epi,-8.199365
OmO,-8.729946
Noa,-4.806586
Oua,-5.915443
ahO,-6.945765
nOi,-8.827604
eNu,-6.176935
tAe,-5.567474
ome,-6.723534
paI,-7.737858
nAi,-4.203524
UpA,-7.299082
eNU,-8.673979
kEa,-9.141007
puA,-5.135949
eaa,-11.37674
opo,-6.893435
AwE,-9.069581
awE,-8.623505
oNu,-12.14772
auA,-5.13191
ItI,-9.040231
unA,-7.595615
tUa,-6.899791
InI,-11.35977
UrA,-7.71021
ONO,-9.598068
OtI,-10.43216
ofi,-9.116522
Ome,-8.438179
Awi,-6.28353
ENe,-10.18523
kiO,-7.524421
ItU,-10.34768
aiu,-6.480257
Eka,-6.517314
aNU,-7.102392
pAu,-5.395157
AkE,-6.773174
Eko,-7.281725
irU,-7.559872
ire,-5.611023
uko,-7.561093
kIi,-6.307385
mie,-7.411407
Ero,-6.857709
rOi,-5.538129
iwA,-4.027921
iwI,-6.996272
eoA,-12.16567
uNi,-7.464451
tEa,-7.988252
Iwi,-9.188133
epu,-7.243153
eha,-4.403524
IkI,-7.944133
uti,-5.430164
koA,-6.762603
imA,-8.545859
enA,-9.268373
iwe,-5.042253
upE,-8.984757
irI,-6.562199
ape,-7.252914
Afu,-8.944886
ErE,-9.953573
etO,-10.40176
IrI,-11.17956
tiU,-8.275962
Otu,-7.382689
ekA,-8.637202
pie,-7.423819
UNu,-6.949575
kOi,-5.774411
oae,-9.696606
Ohe,-7.344774
pUa,-6.529013
epO,-8.147438
OhO,-9.789325
rIi,-8.924537
kOu,-4.509653
eae,-8.551219
orO,-6.322653
uhE,-7.991393
oeo,-10.44808
etE,-12.28168
uNu,-8.596748
Upu,-6.888317
eto,-8.858184
AwI,-7.754425
AkU,-6.617414
ipi,-6.510553
taI,-7.360205
Ano,-7.064597
ume,-5.589182
OkO,-7.176105
uae,-7.22082
onO,-7.602637
emu,-9.7892
ihE,-5.066883
aNu,-7.042301
eaA,-12.75572
Ini,-5.785062
otA,-7.665471
keA,-6.513196
apI,-8.116181
Iro,-8.632629
Imi,-8.522825
pEi,-8.002441
Oio,-8.081407
Onu,-6.134154
Ino,-6.768008
ahE,-4.534539
NAo,-7.00369
Eru,-6.614103
OnI,-10.27478
Etu,-6.164525
afu,-9.311208
rAu,-4.408228
hAo,-5.021775
aie,-5.708044
Ore,-4.177949
aAe,-12.09102
Ani,-6.128327
ahU,-5.698201
ItO,-8.007687
unE,-8.456273
pEa,-8.187151
hAe,-4.61067
Epo,-12.02591
OnE,-7.110238
teU,-9.663495
ENi,-8.876739
OwA,-8.705869
heA,-7.075594
maA,-10.23277
ikE,-7.008735
fEa,-8.870504
pUA,-7.3331
Uru,-7.094831
opE,-9.073595
kaU,-5.312352
opO,-7.419014
ufe,-6.71897
upe,-6.449676
ONa,-7.96631
UkO,-7.952025
eNo,-5.284724
nUmu,-10.33776
Uafu,-15.93244
kApI,-9.131648
pikE,-7.200023
humo,-7.61903
pAfi,-6.239604
Urii,-10.89834
AkiA,-10.33379
meNU,-11.68692
wOpI,-10.92991
UNeo,-8.547624
oupo,-11.12759
UrAA,-15.9194
rIwi,-6.882054
oumi,-10.27304
pAwI,-9.284271
OAno,-11.87147
pefO,-14.24505
OhOi,-9.900773
NAmi,-8.7612
imAI,-13.77528
Aape,-14.41157
OAka,-10.71143
fInA,-9.221676
NikA,-12.64496
AiwE,-14.3182
utOI,-13.51673
eife,-14.54765
upio,-8.422856
wIpu,-7.640411
AanO,-11.23017
wurI,-11.07993
fihE,-8.36149
IrIi,-16.0983
Iwea,-10.02015
ofAO,-16.43243
NOto,-9.582316
OkAI,-10.28535
Iwie,-14.64339
hEha,-8.202704
wuri,-9.143393
OtOI,-14.38798
rAwI,-8.580942
UaNu,-11.48825
NAme,-8.141531
wewE,-10.92985
niNA,-9.714062
wEni,-9.036272
NAiE,-11.51471
ONoe,-10.81836
IrAA,-16.86264
nIno,-8.784694
eIho,-13.7364
witI,-10.47693
NUta,-7.855944
oaiE,-13.86467
aema,-10.64376
AfiU,-11.04895
pIhu,-7.450946
mEri,-9.349158
wEnu,-8.492664
ahEa,-9.922838
nEhE,-5.897111
ehuI,-9.759138
AmAo,-6.802027
iNii,-11.13202
Omou,-8.252888
tImu,-7.213512
uirE,-12.1113
EpEO,-15.64526
NaeA,-12.94449
ApOI,-12.07561
neNu,-8.038765
tuei,-8.543415
apaI,-9.789172
hUku,-7.147631
hOre,-4.935544
Aeni,-7.356198
tukE,-8.06534
etOu,-12.48835
wAiE,-13.72685
tANI,-4.738779
upaI,-9.484816
mini,-4.816963
wEhE,-7.641908
NEni,-11.00467
mAtO,-5.728803
iAfa,-9.89098
ewea,-7.745475
eEtu,-14.88055
Eheu,-8.006559
Aiha,-8.888436
eaNi,-7.410005
UnoA,-13.94935
punE,-7.430005
fEfa,-9.780981
EreU,-13.43321
EtOI,-13.99824
fakI,-4.655463
nInI,-13.37645
ikOi,-8.601108
nEhu,-7.167148
Aanu,-12.34507
tifi,-5.387728
Irui,-11.86713
fouA,-12.90783
uerE,-10.30135
aoku,-8.439629
OAiE,-18.0767
rupo,-7.325827
pOfe,-7.526398
Ataa,-8.905364
uaNI,-11.44217
onoA,-9.274242
wOnE,-10.48944
ikoA,-9.836745
wEtO,-7.968798
rUNU,-9.433442
aepI,-13.44121
haeo,-7.218555
ikou,-5.697649
onOu,-10.94223
tOpE,-8.975578
rIkA,-8.813177
mIra,-6.76902
itUA,-9.200661
upeu,-10.15217
Aniu,-8.016454
nihU,-9.803431
ArIi,-13.39656
aerU,-10.16115
nOhI,-9.473443
Anoa,-7.453228
enio,-10.43594
eiwE,-15.93295
mONO,-9.867242
nOro,-8.396162
puaU,-11.13766
AtaI,-9.883185
nAwI,-8.956204
toAi,-10.73239
ekEa,-11.0865
UkaI,-9.685601
opui,-6.819077
reUa,-12.97804
nIkA,-9.992051
ItOA,-12.84199
oarE,-10.97356
uhai,-7.188287
nOwi,-10.39142
AerI,-9.161018
NUNA,-8.886457
apOI,-13.47208
nAiE,-11.42792
rONU,-9.950053
UkAI,-12.32366
nunE,-8.720941
furi,-6.337887
Nehi,-6.927455
NONU,-10.95886
wifa,-10.65907
mApi,-6.205957
ekoa,-6.603674
uaeA,-13.10902
kIfa,-9.808034
Numo,-8.072975
Ootu,-11.28234
NauI,-9.091285
utEA,-13.64427
rinE,-10.39377
wOue,-11.55847
auhU,-7.53837
umAI,-10.43159
tuAi,-7.980161
howi,-8.396333
uhOu,-10.47221
nAfI,-12.50285
aehi,-9.14968
winE,-10.2001
raNI,-7.608044
OuaU,-13.01571
mEni,-8.716989
kUro,-6.398708
Nipo,-11.83064
UaNe,-12.51587
Urio,-9.03652
mAko,-5.188031
ofEa,-15.45745
wUra,-5.671554
nIrI,-11.45308
itaI,-10.1996
nEri,-9.195897
oera,-10.72774
ONue,-11.03203
NuNA,-7.101478
ONAe,-12.54048
OAke,-11.74385
otEA,-12.73729
AkaU,-7.576568
raNE,-9.131009
hOke,-7.148812
Iheo,-9.891524
uaiE,-12.95898
erIi,-14.22732
aAha,-13.33212
AkUI,-9.91634
fafu,-9.306677
amIi,-12.11551
kOkE,-6.789246
OAkO,-14.51109
kuaA,-10.66083
OotI,-15.09225
eina,-8.744978
fefO,-12.13488
kinI,-11.55762
eNaO,-7.335605
rEro,-9.233736
NoNA,-9.095343
AakI,-13.33744
muNi,-7.546798
nopo,-8.68526
hItU,-8.026563
Nufe,-9.95339
rerI,-7.395526
opOI,-14.54615
