item,logprob
anE,-8.012088
Aea,-5.846478
OrA,-6.111688
irE,-6.540656
Eku,-6.416842
atU,-5.030069
hiA,-7.343491
Imo,-5.756324
omO,-7.194141
wAi,-6.285858
IwE,-6.609119
atE,-5.732688
ikU,-6.370057
epA,-6.65872
ANU,-5.26285
awi,-4.706247
peu,-5.720403
ANA,-6.07813
Oru,-4.813454
AhE,-5.943413
NOu,-6.046385
Ure,-5.157662
OhI,-5.874482
aiE,-7.47774
upU,-5.612466
OfI,-7.150153
enu,-4.783928
Opu,-5.241623
iao,-6.218131
Uni,-6.058493
Ihe,-5.387819
Ine,-5.144356
nia,-3.806921
Ahe,-4.248986
une,-4.444529
uaA,-9.900848
huI,-6.15419
Ane,-4.403283
mIi,-7.113348
Ihu,-5.965075
OhE,-5.653732
Oni,-5.494363
ihU,-6.696906
EhE,-5.463492
kAu,-4.592777
Apa,-4.421352
otU,-6.033823
IwA,-7.192579
Awa,-4.726115
etA,-6.718746
reU,-5.388894
oau,-6.388027
ImO,-6.908293
epo,-5.585563
ONU,-6.55605
One,-5.135678
iAu,-7.141426
kaO,-5.684957
Iwe,-6.515142
Aeo,-6.479951
Ofa,-6.227306
UkE,-6.023314
ApU,-5.747418
aii,-6.905137
owA,-6.66267
IkA,-6.817865
Aue,-5.566683
orE,-6.179725
upO,-5.709294
Amo,-4.816218
uno,-5.142592
OpO,-5.868233
enI,-7.616229
nue,-6.307563
epE,-6.585667
feu,-4.58531
Owi,-5.595587
etI,-7.314606
Ire,-5.605756
tOA,-5.406375
AhU,-5.169939
eme,-5.247954
erU,-6.414069
IwI,-6.483364
unO,-6.358354
fAo,-5.483995
oeA,-6.817973
uii,-8.26039
aiO,-7.888288
inE,-7.756859
Ira,-5.225739
upi,-5.462139
epi,-5.585398
OmO,-7.110763
Noa,-4.428917
Oua,-5.478151
ahO,-5.854686
nOi,-6.150055
eNu,-5.76919
tAe,-4.546395
ome,-5.628779
paI,-6.005426
nAi,-5.431559
UpA,-6.40007
eNU,-6.696757
kEa,-4.869532
puA,-4.891238
eaa,-8.096317
opo,-5.067249
AwE,-6.546647
awE,-5.197508
oNu,-7.013056
auA,-4.971279
ItI,-6.356181
unA,-5.661797
tUa,-4.490099
InI,-5.831219
UrA,-6.171936
ONO,-7.044029
OtI,-6.509759
ofi,-4.993153
Ome,-5.971034
Awi,-5.27676
ENe,-7.264686
kiO,-7.44097
ItU,-7.608541
aiu,-5.988438
Eka,-5.728203
aNU,-5.749949
pAu,-4.663251
AkE,-5.434692
Eko,-5.841696
irU,-5.877364
ire,-4.626719
uko,-5.211547
kIi,-5.751767
mie,-5.263099
Ero,-5.940076
rOi,-6.155739
iwA,-5.438669
iwI,-6.381774
eoA,-8.655528
uNi,-4.673201
tEa,-5.151228
Iwi,-6.876931
epu,-5.526454
eha,-4.948335
IkI,-5.952784
uti,-4.407602
koA,-5.217601
imA,-6.760898
enA,-6.834984
