item,logprob
anE,-3.5186298000000003
Aea,-3.3371427999999996
OrA,-3.1420057999999997
irE,-3.2552018
Eku,-3.8572168
atU,-2.5175048
hiA,-2.7581048
Imo,-3.2805188000000003
omO,-3.5478398
wAi,-2.4767348
IwE,-4.4387188
atE,-2.3948468
ikU,-3.5628307999999995
epA,-3.7684417999999997
ANU,-5.523230799999999
awi,-4.4565828
peu,-6.2756548
ANA,-2.9028587999999997
Oru,-3.8803707999999997
AhE,-3.2775498
NOu,-6.7698868
Ure,-4.1918128
OhI,-3.6168198
aiE,-3.7810977999999995
upU,-4.1288588
OfI,-4.621987799999999
enu,-3.8547138
Opu,-3.9779288
iao,-3.7512917999999997
Uni,-4.9690047999999996
Ihe,-3.1123588
Ine,-3.5648847999999997
nia,-5.1139778
Ahe,-3.2775498
une,-5.9706038
uaA,-4.7686018
huI,-3.1131618000000003
Ane,-3.5186298000000003
mIi,-4.5158778
Ihu,-4.0914528
OhE,-3.3904898
Oni,-4.1141668
ihU,-4.0914528
EhE,-3.4067688
kAu,-2.4025787999999997
Apa,-3.5725998
otU,-3.5501078
IwA,-3.0893068
Awa,-3.2463458000000003
etA,-3.3003878
reU,-5.5084968
oau,-3.7274098
ImO,-3.2805188000000003
epo,-4.4442238
ONU,-5.7072158
One,-3.8879377999999996
iAu,-3.4155287999999997
kaO,-2.9746968000000003
Iwe,-4.4387188
Aeo,-4.0474228
Ofa,-4.2956617999999995
UkE,-5.6235048
ApU,-3.8176078
aii,-3.4926828
owA,-3.6125267999999995
IkA,-2.7997398000000002
Aue,-3.7054418
orE,-3.2002968000000003
upO,-5.1568808
Amo,-3.4398837999999996
uno,-5.8531628
OpO,-4.4076298
enI,-5.0871968
nue,-4.2632408
epE,-4.187219799999999
feu,-4.660360799999999
Owi,-4.6405908
etI,-3.7759938
Ire,-3.2552018
tOA,-2.7082758
AhU,-3.5011998
eme,-3.6366388
erU,-4.1027518
IwI,-2.5835938
unO,-5.8531628
fAo,-4.220369799999999
oeA,-4.4867308
uii,-5.0721348
aiO,-3.7990218000000002
inE,-3.5648847999999997
Ira,-2.8503407999999997
upi,-6.607563799999999
epi,-4.646870799999999
OmO,-3.5478398
Noa,-4.3744477999999996
Oua,-4.8535728
ahO,-3.7062688
nOi,-3.4157608
eNu,-5.5524008
tAe,-2.7055578000000002
ome,-3.6634028
