item,logprob
anE,-3.6597152
Aea,-4.1975422
OrA,-3.5731921999999994
irE,-3.6428572
Eku,-4.3808852
atU,-3.4287871999999995
hiA,-3.3271432
Imo,-4.4655081999999995
omO,-4.2848982
wAi,-3.0073702000000004
IwE,-4.323364199999999
atE,-3.6855962
ikU,-4.2279652
epA,-4.284527199999999
ANU,-4.6963842
awi,-4.2345742
peu,-3.9243862
ANA,-3.5041572
Oru,-3.7391062
AhE,-3.9353081999999997
NOu,-4.2283082
Ure,-3.3271492
OhI,-3.2048031999999997
aiE,-4.682122199999999
upU,-4.0464782
OfI,-4.7646522
enu,-4.435268199999999
Opu,-4.290665199999999
iao,-4.523807199999999
Uni,-3.4942561999999997
Ihe,-3.8588601999999996
Ine,-3.2853702
nia,-3.6125032
Ahe,-3.9353081999999997
une,-4.0073962
uaA,-4.9838372
huI,-3.3998061999999996
Ane,-3.6597152
mIi,-4.3427052
Ihu,-3.9871241999999993
OhE,-3.6869971999999995
Oni,-3.9704442
ihU,-3.9871241999999993
EhE,-3.7070872
kAu,-2.5727551999999996
Apa,-3.6249411999999994
otU,-3.8440522
IwA,-3.4781091999999996
Awa,-3.1905872000000004
etA,-4.0305852
reU,-3.6331852
oau,-4.6622572
ImO,-4.4655081999999995
epo,-4.5521632
ONU,-5.0632372
One,-3.8178121999999997
iAu,-4.6834582
kaO,-3.0618442000000003
Iwe,-4.323364199999999
Aeo,-5.5884862
Ofa,-4.6479412
UkE,-3.8130951999999994
ApU,-3.6048811999999995
aii,-4.8864372
owA,-4.379973199999999
IkA,-3.7634352
Aue,-4.8012672
orE,-3.2806622
upO,-4.3379582
Amo,-3.8565711999999994
uno,-4.121630199999999
OpO,-4.3369881999999995
enI,-4.0328602
nue,-4.8416732
epE,-4.5224172
feu,-4.0328992
Owi,-4.9761942
etI,-3.8332461999999996
Ire,-3.6428572
tOA,-3.2510421999999997
AhU,-3.4135171999999994
eme,-4.710824199999999
erU,-3.7591852
IwI,-3.7684562
unO,-4.121630199999999
fAo,-3.7930452
oeA,-4.9740842
uii,-5.1402652
aiO,-4.5108652
inE,-3.2853702
Ira,-3.5647241999999997
upi,-4.3479442
epi,-4.4492372
OmO,-4.2848982
Noa,-4.273661199999999
Oua,-4.2318042
ahO,-3.8006652
nOi,-3.7268511999999996
eNu,-5.208708199999999
tAe,-3.2664342
ome,-4.7980602
paI,-2.9420862000000003
nAi,-3.4448042
UpA,-4.206942199999999
eNU,-5.208708199999999
kEa,-3.0592452000000003
puA,-2.6090422
eaa,-5.3713482
opo,-4.3369881999999995
AwE,-3.4141411999999995
awE,-3.4141411999999995
oNu,-5.0632372
auA,-3.3473901999999995
ItI,-3.4970212
unA,-3.2669531999999997
tUa,-2.7644792000000002
InI,-3.1433212
UrA,-3.4480141999999994
ONO,-4.7045312
OtI,-3.4158782
ofi,-4.7646522
Ome,-4.7980602
Awi,-4.2345742
ENe,-5.3082442
kiO,-3.8029592
ItU,-4.0861811999999995
aiu,-4.3738472
Eka,-3.5802161999999997
aNU,-4.6963842
pAu,-3.0924002
AkE,-3.3775762
Eko,-3.9992452
irU,-4.2797782
ire,-3.6428572
uko,-4.0041582
kIi,-4.098526199999999
mie,-4.1237432
Ero,-3.6746812
rOi,-3.1603192
iwA,-3.4781091999999996
iwI,-3.7684562
eoA,-5.448103199999999
uNi,-4.9156412
tEa,-2.9037081999999996
Iwi,-3.7684562
epu,-4.3257522
eha,-3.8971811999999995
IkI,-3.6880822
uti,-3.6778962
koA,-3.2706802
imA,-4.0415882
enA,-3.6807162
iwe,-4.323364199999999
upE,-4.3047762
irI,-3.2399202000000002
ape,-3.8378432
Afu,-5.7723032
ErE,-3.2014932
etO,-4.480567199999999
IrI,-3.2399202000000002
tiU,-3.5382362
Otu,-3.8440522
ekA,-3.5802161999999997
pie,-4.1525012
UNu,-5.2540341999999995
kOi,-3.1649022
oae,-5.1001482
Ohe,-3.6869971999999995
pUa,-2.6090422
epO,-4.5521632
OhO,-3.4893852
rIi,-4.1240822
kOu,-3.0226531999999997
eae,-5.4836972
orO,-3.1591632
uhE,-4.1499261999999995
oeo,-5.8208622
etE,-4.1385822
uNu,-5.2540341999999995
Upu,-4.0464782
eto,-4.480567199999999
AwI,-4.2345742
AkU,-3.5555531999999994
ipi,-4.1297052
taI,-2.7595832
Ano,-3.6195161999999996
ume,-3.8458752
OkO,-3.5794001999999994
uae,-4.8951152
onO,-3.5175072
emu,-4.393495199999999
ihE,-3.8588601999999996
aNu,-4.6963842
eaA,-5.3713482
Ini,-3.1433212
otA,-3.5830082
keA,-3.0592452000000003
apI,-3.7250002
Iro,-3.5876392
Imi,-4.2603532
pEi,-3.5128661999999995
Oio,-5.3359152
Onu,-3.9086052000000002
Ino,-3.4831991999999996
ahE,-3.9353081999999997
NAo,-3.9020512
Eru,-3.7591852
OnI,-3.9704442
