item,logprob
anE,-3.8688066
Aea,-4.1208096
OrA,-3.6414176000000005
irE,-4.0875686
Eku,-4.8308806
atU,-3.0632306
hiA,-1.9305435999999998
Imo,-4.9196266
omO,-4.2565746
wAi,-2.3191395999999997
IwE,-4.9970966
atE,-3.6025676000000004
ikU,-4.6038946
epA,-4.4082646
ANU,-4.6646786
awi,-4.4566996
peu,-4.7216946
ANA,-3.0982985999999997
Oru,-3.9665416000000002
AhE,-3.8862526000000006
NOu,-4.907424600000001
Ure,-3.7060866
OhI,-3.5997866
aiE,-5.3616076
upU,-3.9973656
OfI,-5.0775796
enu,-4.6325346000000005
Opu,-4.3241776000000005
iao,-4.8497996
Uni,-3.8115606
Ihe,-4.4007856
Ine,-3.4907236
nia,-3.8169606
Ahe,-3.8862526000000006
une,-4.5710256000000005
uaA,-4.8082406
huI,-2.9927836
Ane,-3.8688066
mIi,-5.0788636
Ihu,-4.4256446
OhE,-3.7677006000000004
Oni,-4.3964496
ihU,-4.4256446
EhE,-4.1837296
kAu,-2.6245586000000003
Apa,-3.3343656
otU,-3.9413316
IwA,-3.6679866
Awa,-3.2434025999999996
etA,-4.2444716
reU,-4.2481036
oau,-5.0270606
ImO,-4.9196266
epo,-4.8008496
ONU,-5.5292106
One,-3.8810056
iAu,-4.9068176
kaO,-3.4393926000000006
Iwe,-4.9970966
Aeo,-5.513387600000001
Ofa,-4.6960466
UkE,-4.1690546
ApU,-3.5280076000000005
aii,-5.4575926
owA,-4.5846466
IkA,-3.8190596
Aue,-5.2513056
orE,-3.4574726
upO,-4.5147366
Amo,-3.8518126000000006
uno,-4.6904876
OpO,-4.5545686000000005
enI,-4.8424756
nue,-5.2945956
epE,-5.0424236
feu,-4.7805926
Owi,-5.5120696
etI,-4.2972796
Ire,-4.0875686
tOA,-3.3396466
AhU,-3.3863296
eme,-4.7564556
erU,-4.4871546
IwI,-3.5956606000000004
unO,-4.6904876
fAo,-3.4224346
oeA,-5.393890600000001
uii,-5.657672600000001
aiO,-5.094759600000001
inE,-3.4907236
Ira,-3.6930566000000002
upi,-4.8417706
epi,-5.0067656000000005
OmO,-4.2565746
Noa,-3.8030216
Oua,-4.7659256
ahO,-3.6891706000000006
nOi,-4.2762346
eNu,-5.6811276
tAe,-3.0017965999999996
ome,-5.1926376
paI,-2.6399706
nAi,-3.5913926
UpA,-4.2705846
eNU,-5.6811276
kEa,-3.4797846000000003
puA,-2.6605306000000004
eaa,-5.1732056
opo,-4.5545686000000005
AwE,-3.7959876
awE,-3.7959876
oNu,-5.5292106
auA,-3.7576986000000003
ItI,-3.3700126
unA,-3.5794176
tUa,-2.4991326000000003
InI,-3.2658486
UrA,-3.3732726
ONO,-4.2717716
OtI,-3.7241806000000004
ofi,-5.0775796
Ome,-5.1926376
Awi,-4.4566996
ENe,-5.8378046
kiO,-4.0931696
ItU,-3.9139156
aiu,-5.0675616
Eka,-3.6277826000000006
aNU,-4.6646786
pAu,-2.8495156
AkE,-3.6497986000000004
Eko,-4.1853536
irU,-4.7264776
ire,-4.0875686
uko,-4.3485956
kIi,-4.546791600000001
mie,-4.7310686
Ero,-3.9599446
rOi,-3.6426196000000006
iwA,-3.6679866
iwI,-3.5956606000000004
eoA,-5.9980696
uNi,-4.9112426000000005
tEa,-2.7663076
Iwi,-3.5956606000000004
epu,-4.5734296
eha,-4.457972600000001
IkI,-3.8604546000000006
uti,-3.9049096
koA,-3.1428535999999996
imA,-4.228458600000001
enA,-4.150123600000001
iwe,-4.9970966
upE,-4.6199866
irI,-3.1483266
ape,-4.0274906
Afu,-5.8239526
ErE,-3.4874776
etO,-4.7959266000000005
IrI,-3.1483266
tiU,-3.8835396000000006
Otu,-3.9413316
ekA,-3.6277826000000006
pie,-4.7863866
UNu,-5.6286186
kOi,-3.0288926
oae,-5.4824906
Ohe,-3.7677006000000004
pUa,-2.6605306000000004
epO,-4.8008496
OhO,-3.5112026
rIi,-4.5972076
kOu,-3.4986826000000004
eae,-5.6933236
orO,-3.1786586000000003
uhE,-4.738917600000001
oeo,-6.4048456
etE,-4.448917600000001
uNu,-5.6286186
Upu,-3.9973656
eto,-4.7959266000000005
AwI,-4.4566996
AkU,-3.7003746
ipi,-4.5978386
taI,-2.3293416000000002
Ano,-3.9588086000000002
ume,-4.1950406000000005
OkO,-3.5536996
uae,-5.3601826
onO,-3.3800616000000003
emu,-4.4781616
ihE,-4.4007856
aNu,-4.6646786
eaA,-5.1732056
Ini,-3.2658486
otA,-3.7679036000000004
keA,-3.4797846000000003
apI,-3.9542036000000005
Iro,-3.6689296000000002
Imi,-4.6863536
pEi,-3.4188956
Oio,-5.9478676
Onu,-4.2999396
Ino,-3.5379646000000005
ahE,-3.8862526000000006
NAo,-4.080970600000001
Eru,-4.4871546
OnI,-4.3964496
Etu,-4.4687636
afu,-5.8239526
rAu,-2.5181446000000003
hAo,-3.5304296000000006
aie,-5.3616076
Ore,-3.4574726
aAe,-4.887961600000001
Ani,-3.9009016
ahU,-3.3863296
ItO,-3.9756216
unE,-4.5710256000000005
pEa,-3.6727676000000002
hAe,-2.8369245999999997
Epo,-4.8008496
OnE,-3.8810056
teU,-4.4564266
ENi,-4.9296736
OwA,-4.5846466
heA,-2.8655236000000004
maA,-3.4732066
ikE,-4.669751600000001
fEa,-3.0332276
pUA,-2.6605306000000004
Uru,-3.1677616000000004
opE,-4.7679286
kaU,-2.6245586000000003
opO,-4.5545686000000005
ufe,-5.3091026
upe,-4.6199866
ONa,-4.0220326
UkO,-4.3485956
eNo,-5.3851456
nUmu,-5.2829516000000005
Uafu,-7.1922866
kApI,-3.7143656
pikE,-4.2186836
humo,-4.4575816
pAfi,-4.2590116
Urii,-5.8857366
AkiA,-4.2965226
meNU,-5.7548386
wOpI,-5.9217076
UNeo,-7.9833175999999995
oupo,-5.7872356
UrAA,-5.134041600000001
rIwi,-4.6272246
oumi,-6.2175266
pAwI,-4.7021086
OAno,-5.8464206
pefO,-6.6922536
OhOi,-4.664001600000001
NAmi,-4.172890600000001
imAI,-5.1748806
Aape,-5.7872486
OAka,-4.6612016
fInA,-4.2597366
NikA,-3.7789956
AiwE,-5.5750166000000005
utOI,-5.7790426
eife,-6.5205336
upio,-7.0416716
wIpu,-4.8654196
AanO,-5.7189276
wurI,-5.932307600000001
fihE,-4.7514966
IrIi,-5.7479606
Iwea,-5.7719456000000005
ofAO,-5.951770600000001
NOto,-4.8446536
OkAI,-4.5969366
Iwie,-6.0492436000000005
hEha,-4.1400186
wuri,-5.932307600000001
OtOI,-5.0864996
rAwI,-4.5881026
UaNu,-6.0513846000000004
NAme,-4.4037576000000005
wewE,-5.4283436
niNA,-4.3685446
wEni,-4.9484276000000005
NAiE,-5.6385506
ONoe,-6.5690236
IrAA,-5.4538246
nIno,-5.1180446
eIho,-5.9033636000000005
witI,-4.163346600000001
