item,logprob
anE,-3.549822
Aea,-4.063122
OrA,-3.736929
irE,-4.003186
Eku,-4.487146
atU,-3.813841
hiA,-2.858169
Imo,-4.789876
omO,-4.267173
wAi,-3.13106
IwE,-5.008875
atE,-3.786309
ikU,-4.538899
epA,-4.295515
ANU,-4.698621
awi,-4.030111
peu,-4.236603
ANA,-3.094436
Oru,-3.979118
AhE,-3.572281
NOu,-3.993506
Ure,-3.715807
OhI,-3.416878
aiE,-4.678872
upU,-3.901331
OfI,-5.629431
enu,-4.31279
Opu,-4.110287
iao,-5.039692
Uni,-3.941547
Ihe,-3.92096
Ine,-3.549964
nia,-3.43656
Ahe,-3.572281
une,-4.120406
uaA,-5.336306
huI,-3.441892
Ane,-3.549822
mIi,-5.194579
Ihu,-4.431772
OhE,-3.5905
Oni,-3.946685
ihU,-4.431772
EhE,-3.656444
kAu,-2.775124
Apa,-3.714057
otU,-4.1542
IwA,-4.089967
Awa,-3.322031
etA,-4.199609
reU,-3.960958
oau,-4.914331
ImO,-4.789876
epo,-5.20174
ONU,-6.155918
One,-4.108518
iAu,-5.284044
kaO,-3.227229
Iwe,-5.008875
Aeo,-4.896804
Ofa,-5.481478
UkE,-3.900486
ApU,-3.751449
aii,-5.898862
owA,-4.131678
IkA,-3.965397
Aue,-4.607398
orE,-3.39817
upO,-4.830637
Amo,-4.195607
uno,-5.4289
OpO,-4.129378
enI,-4.252422
nue,-5.211933
epE,-3.939462
feu,-4.487101
Owi,-4.327385
etI,-3.765897
Ire,-4.003186
tOA,-3.121036
AhU,-3.52949
eme,-4.274236
erU,-4.105381
IwI,-4.067898
unO,-5.4289
fAo,-3.505084
oeA,-4.761427
uii,-6.866992
aiO,-4.441523
inE,-3.549964
Ira,-3.847927
upi,-4.393154
epi,-4.572598
OmO,-4.267173
Noa,-3.591883
Oua,-3.95615
ahO,-3.989087
nOi,-3.453009
eNu,-4.845376
tAe,-3.252257
ome,-4.527804
paI,-2.915104
nAi,-3.706263
UpA,-3.925793
eNU,-4.845376
kEa,-2.979601
puA,-2.661007
eaa,-6.075129
opo,-4.129378
AwE,-3.54151
awE,-3.54151
oNu,-6.155918
auA,-3.411597
ItI,-3.679885
unA,-3.595065
tUa,-2.553418
InI,-3.340118
UrA,-3.807795
ONO,-4.459008
OtI,-3.91617
ofi,-5.629431
Ome,-4.527804
Awi,-4.030111
ENe,-4.217726
kiO,-3.918854
ItU,-4.574974
aiu,-5.002848
Eka,-4.099088
aNU,-4.698621
pAu,-3.169899
AkE,-3.718287
Eko,-4.282875
irU,-4.71722
ire,-4.003186
uko,-4.896789
kIi,-5.087371
mie,-4.678569
Ero,-4.014321
rOi,-3.194896
iwA,-4.089967
iwI,-4.067898
eoA,-5.511286
uNi,-5.035467
tEa,-2.810939
Iwi,-4.067898
epu,-4.441816
eha,-4.027469
IkI,-3.411043
uti,-3.987489
koA,-2.664865
imA,-4.624221
enA,-3.894326
iwe,-5.008875
upE,-4.043728
irI,-3.547407
ape,-3.861317
Afu,-6.49761
ErE,-3.335601
etO,-4.243395
