item,logprob
anE,-7.183792
Aea,-5.74852
OrA,-7.465127
irE,-9.665461
Eku,-6.745435
atU,-3.899842
hiA,-9.779652
Imo,-8.269741
omO,-7.319215
wAi,-6.549377
IwE,-11.90781
atE,-8.745269
ikU,-8.012954
epA,-8.082118
ANU,-8.97403
awi,-5.256217
peu,-7.59887
ANA,-7.882004
Oru,-6.007211
AhE,-6.711147
NOu,-7.852853
Ure,-6.771324
OhI,-8.810763
aiE,-8.371172
upU,-6.131776
OfI,-10.42704
enu,-6.174647
Opu,-6.93284
iao,-5.286375
Uni,-8.599988
Ihe,-6.416679
Ine,-7.392843
nia,-5.209673
Ahe,-4.158493
une,-7.302993
uaA,-7.844469
huI,-7.666449
Ane,-5.077527
mIi,-8.660083
Ihu,-8.30302
OhE,-6.647605
Oni,-6.224412
ihU,-6.280459
EhE,-5.951027
kAu,-5.384263
Apa,-4.79888
otU,-6.516524
IwA,-9.081575
Awa,-4.464368
etA,-8.852815
reU,-8.295333
oau,-8.658172
ImO,-9.259526
epo,-7.766277
ONU,-9.07756
One,-5.125653
iAu,-7.480052
kaO,-6.449151
Iwe,-9.367065
Aeo,-5.410287
Ofa,-8.752901
UkE,-7.897121
ApU,-6.706413
aii,-6.561275
owA,-8.661827
IkA,-11.07455
Aue,-8.032097
orE,-8.922348
upO,-5.713004
Amo,-6.486283
uno,-7.342868
OpO,-6.035096
enI,-12.57348
nue,-5.840771
epE,-9.730005
feu,-5.042384
Owi,-8.083982
etI,-10.72792
Ire,-7.691427
tOA,-7.598856
AhU,-5.831312
eme,-5.949632
erU,-7.882979
IwI,-7.289219
unO,-7.800804
fAo,-7.00279
oeA,-7.353829
uii,-11.80587
aiO,-6.950006
inE,-7.704555
Ira,-6.812056
upi,-6.794417
epi,-7.315571
OmO,-7.841565
Noa,-4.813518
Oua,-5.972797
ahO,-7.049469
nOi,-8.067599
eNu,-6.340098
tAe,-5.37302
ome,-6.527783
paI,-8.012273
nAi,-4.249875
UpA,-7.245928
eNU,-7.537984
kEa,-7.959913
puA,-5.210641
eaa,-11.32237
opo,-6.80783
AwE,-8.759174
awE,-8.690376
oNu,-10.82265
auA,-5.209334
ItI,-8.801651
unA,-7.364284
tUa,-6.461469
InI,-10.63784
UrA,-7.220975
ONO,-9.138093
OtI,-7.828311
ofi,-8.954841
Ome,-7.446589
Awi,-5.505911
ENe,-8.895328
kiO,-7.933738
ItU,-10.13842
aiu,-6.340631
Eka,-6.540148
aNU,-7.146866
pAu,-5.407352
AkE,-6.853339
Eko,-6.97111
irU,-7.678652
ire,-5.519858
uko,-7.534917
kIi,-5.68501
mie,-7.37713
Ero,-6.831938
rOi,-5.551575
iwA,-4.042051
iwI,-7.027217
eoA,-11.49583
uNi,-7.342821
