item,logprob
anE,-4.514427
Aea,-4.608316
OrA,-5.873012
irE,-7.521162
Eku,-6.152701
atU,-5.965737
hiA,-6.192246
Imo,-9.289243
omO,-6.549818
wAi,-6.685098
IwE,-11.69453
atE,-7.759102
ikU,-7.829898
epA,-5.632967
ANU,-7.690074
awi,-6.367928
peu,-10.1089
ANA,-5.389124
Oru,-7.288138
AhE,-6.174851
NOu,-10.18468
Ure,-7.276873
OhI,-8.227205
aiE,-8.688367
upU,-7.8342
OfI,-11.27064
enu,-5.737516
Opu,-7.107862
iao,-5.569763
Uni,-9.022472
Ihe,-8.393626
Ine,-8.88574
nia,-6.645905
Ahe,-4.761819
une,-7.622697
uaA,-7.667015
huI,-8.050976
Ane,-5.336867
mIi,-10.36913
Ihu,-10.48332
OhE,-6.657058
Oni,-7.100502
ihU,-7.003064
EhE,-6.762131
kAu,-6.434631
Apa,-5.696977
otU,-6.204234
IwA,-9.749494
Awa,-5.922419
etA,-5.379153
reU,-9.422943
oau,-6.382619
ImO,-9.416695
epo,-7.033585
ONU,-9.473129
One,-6.178477
iAu,-8.194136
kaO,-6.983265
Iwe,-10.91116
Aeo,-4.604851
Ofa,-8.830316
UkE,-7.541422
ApU,-5.961068
aii,-6.734279
owA,-6.413226
IkA,-9.895036
Aue,-8.395447
orE,-8.902689
upO,-7.61262
Amo,-6.086636
uno,-8.180746
OpO,-6.255489
enI,-9.742048
nue,-6.895287
epE,-6.778326
feu,-8.641744
Owi,-8.308098
etI,-6.572008
Ire,-8.500198
tOA,-7.228765
AhU,-6.625126
eme,-5.026115
erU,-6.822454
IwI,-7.897014
unO,-7.856607
fAo,-6.891759
oeA,-7.459203
uii,-7.452137
aiO,-8.217784
inE,-4.67684
Ira,-7.414892
upi,-8.20874
epi,-5.952534
OmO,-6.607645
Noa,-6.15175
Oua,-7.705162
ahO,-8.085769
nOi,-5.42445
eNu,-6.367482
tAe,-6.189165
ome,-6.39921
paI,-8.617105
nAi,-4.978103
UpA,-7.830077
eNU,-7.41636
kEa,-5.991312
puA,-6.965773
eaa,-5.970478
opo,-8.105958
AwE,-8.882633
awE,-8.772965
oNu,-9.163899
auA,-6.349238
ItI,-9.660024
unA,-7.452496
tUa,-5.8143
InI,-14.05552
UrA,-7.446913
ONO,-9.637251
OtI,-8.496136
ofi,-7.464861
Ome,-6.552134
Awi,-6.517055
ENe,-8.838798
kiO,-5.888752
ItU,-9.826927
aiu,-8.500379
Eka,-6.18519
aNU,-7.699205
pAu,-7.525324
AkE,-5.408114
Eko,-5.560928
irU,-6.675147
ire,-4.707302
uko,-7.0833
kIi,-6.58083
mie,-7.191699
Ero,-7.977044
rOi,-7.826649
iwA,-4.857094
iwI,-7.069877
eoA,-7.166363
uNi,-7.766472
tEa,-7.798779
Iwi,-10.02385
epu,-5.700885
eha,-4.934222
IkI,-8.728279
uti,-7.405741
koA,-5.413025
imA,-5.539902
enA,-6.217862
iwe,-6.573938
upE,-8.937631
irI,-6.369391
ape,-7.284261
Afu,-9.256986
ErE,-11.36689
etO,-5.841272
IrI,-12.22873
tiU,-8.108536
Otu,-7.155196
ekA,-6.182541
pie,-7.46978
UNu,-11.04709
kOi,-7.402445
oae,-7.012482
Ohe,-5.983791
pUa,-6.919387
epO,-5.752832
OhO,-9.284129
rIi,-8.362686
kOu,-6.652122
eae,-6.174773
orO,-8.282457
uhE,-8.541084
oeo,-7.589572
etE,-7.539778
uNu,-8.66441
Upu,-7.125061
eto,-5.791919
AwI,-7.347781
AkU,-6.627645
ipi,-5.476006
taI,-9.934214
Ano,-6.015456
ume,-7.682043
OkO,-7.698476
uae,-7.548464
onO,-6.487529
emu,-6.133269
ihE,-6.017873
aNu,-7.917798
eaA,-6.625524
Ini,-8.011705
otA,-5.508598
keA,-5.636969
apI,-8.016179
Iro,-9.230137
Imi,-9.492191
pEi,-7.86435
Oio,-8.293814
Onu,-7.214361
Ino,-9.288354
ahE,-5.830932
NAo,-6.381129
Eru,-7.894255
OnI,-9.930736
Etu,-7.329281
afu,-9.310181
rAu,-6.642282
hAo,-6.042858
aie,-7.099612
Ore,-5.336767
aAe,-5.945662
Ani,-6.049739
ahU,-6.433298
ItO,-8.892241
unE,-6.997747
pEa,-7.393376
hAe,-4.93793
Epo,-9.957866
OnE,-5.775356
teU,-7.544455
ENi,-7.307112
OwA,-7.64677
heA,-5.176728
maA,-6.509636
ikE,-5.788843
fEa,-9.007159
pUA,-7.597297
Uru,-7.459363
opE,-8.050909
kaU,-7.253978
opO,-7.038552
ufe,-9.418115
upe,-8.030558
ONa,-7.670424
UkO,-9.261482
eNo,-6.297532
nUmu,-10.14362
Uafu,-12.73376
kApI,-7.951064
pikE,-7.167068
humo,-8.384492
pAfi,-8.227779
Urii,-8.799811
AkiA,-6.519075
meNU,-8.530013
wOpI,-11.95307
UNeo,-13.12248
oupo,-10.25034
UrAA,-9.372137
rIwi,-8.663107
oumi,-9.349787
pAwI,-9.488417
OAno,-7.539101
pefO,-12.19673
OhOi,-8.484208
NAmi,-6.77051
imAI,-10.36773
Aape,-8.836109
OAka,-6.414445
fInA,-9.595944
NikA,-9.231011
AiwE,-8.450463
utOI,-10.48626
eife,-8.920672
upio,-10.41881
wIpu,-8.089268
AanO,-6.012974
wurI,-11.47024
fihE,-9.054513
IrIi,-14.91558
Iwea,-11.7301
ofAO,-9.799321
NOto,-11.98032
OkAI,-10.86676
Iwie,-11.72179
hEha,-8.299289
wuri,-9.633914
OtOI,-9.124142
rAwI,-7.758139
UaNu,-10.66366
NAme,-5.288538
wewE,-11.08801
niNA,-7.885463
wEni,-8.554548
NAiE,-8.548451
ONoe,-9.193121
IrAA,-10.0903
nIno,-9.980938
eIho,-10.50438
witI,-9.857355
NUta,-9.726354
oaiE,-9.593395
aema,-8.245805
AfiU,-10.67186
pIhu,-9.096871
mEri,-9.393813
wEnu,-9.004831
ahEa,-7.092272
nEhE,-6.207086
ehuI,-8.241913
AmAo,-5.881211
iNii,-7.695544
Omou,-7.617404
tImu,-8.550763
uirE,-10.67483
EpEO,-12.9558
NaeA,-8.937278
ApOI,-8.371684
neNu,-9.329981
tuei,-7.646473
apaI,-10.11875
hUku,-8.106797
hOre,-6.319135
Aeni,-6.221959
tukE,-6.593057
etOu,-7.659936
wAiE,-9.515257
tANI,-6.705111
upaI,-11.09814
mini,-6.601306
wEhE,-9.383687
NEni,-11.56376
mAtO,-6.342963
iAfa,-8.336138
ewea,-7.323755
eEtu,-9.239166
Eheu,-9.233951
Aiha,-6.854377
eaNi,-6.801053
UnoA,-10.06826
punE,-5.876571
fEfa,-10.66636
EreU,-11.52831
EtOI,-9.421599
fakI,-5.963446
nInI,-14.7481
ikOi,-8.578294
nEhu,-7.06736
Aanu,-6.675709
tifi,-7.224399
Irui,-11.47458
fouA,-9.672783
uerE,-11.24886
aoku,-8.74762
OAiE,-9.622922
rupo,-9.082516
pOfe,-9.009378
Ataa,-6.335116
uaNI,-11.38468
onoA,-7.611978
wOnE,-8.892979
ikoA,-7.362915
wEtO,-7.630064
rUNU,-11.81916
aepI,-9.673105
haeo,-5.967077
ikou,-5.744729
onOu,-9.485595
tOpE,-8.674523
rIkA,-8.794589
mIra,-7.804343
itUA,-7.322044
upeu,-12.59568
Aniu,-8.433853
nihU,-9.175191
ArIi,-10.067
aerU,-8.945043
nOhI,-8.133206
Anoa,-6.182274
enio,-8.776585
eiwE,-9.394922
mONO,-8.519199
nOro,-6.108598
puaU,-10.0186
AtaI,-10.79361
nAwI,-7.261509
toAi,-8.77006
ekEa,-6.505993
UkaI,-11.21114
opui,-7.761623
reUa,-9.590837
nIkA,-8.449278
ItOA,-11.94969
oarE,-10.3308
uhai,-9.220503
nOwi,-7.104933
AerI,-6.93869
NUNA,-10.05986
apOI,-9.139886
nAiE,-7.808262
rONU,-12.12835
UkAI,-12.5243
nunE,-6.726663
furi,-8.528811
Nehi,-9.872121
NONU,-13.24971
wifa,-9.009251
mApi,-7.573357
ekoa,-5.818817
uaeA,-9.581207
kIfa,-9.578921
Numo,-10.74731
Ootu,-7.171174
NauI,-11.43099
utEA,-11.10068
rinE,-6.547051
wOue,-9.562323
auhU,-8.316432
umAI,-12.45145
tuAi,-7.666582
howi,-7.880306
uhOu,-11.20337
nAfI,-9.675443
aehi,-8.08361
winE,-6.922178
raNI,-8.759872
OuaU,-11.82166
mEni,-7.74271
kUro,-8.35357
Nipo,-10.14616
UaNe,-11.16187
Urio,-8.844983
mAko,-5.946982
