c	N	u	s
0	13538	0.336903531	0.336903531
1	4561	0.641087481	0.662430186
2	1462	1.60466657	1.628175042
3	764	2.566019262	2.591825893
4	528	3.543420102	3.57057059
5	361	4.528581213	4.556614095
6	306	5.518088183	5.546745033
7	243	6.510274659	6.539396138
8	173	7.504230046	7.533710968
9	158	8.499414522	8.529181799
10	130	9.4954877	9.525488485
11	110	10.49222429	10.52241913
12	125	11.48946923	11.51982791
13	81	12.48711231	12.51761114
14	72	13.48507303	13.51569312
15	99	14.48329122	14.51401726
16	76	15.481721	15.51254042
17	43	16.4803268	16.51122913
18	63	17.47908059	17.51005702
19	52	18.47795999	18.50900306
20	46	19.47694692	19.50805023
21	33	20.47602661	20.50718465
22	56	21.47518687	21.50639485
23	52	22.47441758	22.50567129
24	30	23.47371021	23.50500599
25	40	24.47305759	24.50439218
26	28	25.47245359	25.50382409
27	30	26.47189297	26.50329681
28	39	27.47137123	27.5028061
29	25	28.47088445	28.50234826
30	22	29.47042923	29.50192012
31	26	30.4700026	30.50151886
32	26	31.46960196	31.50114204
33	27	32.46922498	32.50078748
34	28	33.46886965	33.50045328
35	17	34.46853414	34.50013772
36	23	35.46821684	35.49983929
37	27	36.46791632	36.49955663
38	29	37.46763126	37.49928853
39	27	38.46736051	38.49903388
40	16	39.46710302	39.4987917
41	15	40.46685784	40.4985611
42	18	41.4666241	41.49834126
43	14	42.46640103	42.49813145
44	21	43.4661879	43.49793099
45	13	44.46598407	44.49773928
46	12	45.46578894	45.49755576
47	9	46.46560197	46.49737991
48	15	47.46542265	47.49721125
49	10	48.46525053	48.49704937
50	10	49.46508518	49.49689385
51	12	50.46492621	50.49674433
52	12	51.46477326	51.49660047
53	14	52.46462598	52.49646196
54	9	53.46448408	53.49632849
55	13	54.46434726	54.49619981
56	9	55.46421525	55.49607565
57	15	56.4640878	56.49595578
58	9	57.46396469	57.49583999
59	9	58.46384569	58.49572807
60	20	59.46373061	59.49561982
61	11	60.46361924	60.49551508
62	12	61.46351142	61.49541367
63	12	62.46340698	62.49531544
64	9	63.46330576	63.49522024
65	8	64.46320761	64.49512793
66	13	65.4631124	65.49503838
67	9	66.46301999	66.49495147
68	12	67.46293027	67.49486708
69	7	68.46284312	68.49478511
70	5	69.46275843	69.49470546
71	11	70.4626761	70.49462802
72	7	71.46259602	71.49455271
73	5	72.46251812	72.49447944
74	10	73.4624423	73.49440813
75	5	74.46236847	74.49433869
76	6	75.46229657	75.49427107
77	5	76.46222652	76.49420518
78	6	77.46215824	77.49414096
79	5	78.46209167	78.49407835
80	12	79.46202675	79.49401729
81	9	80.46196342	80.49395772
82	3	81.46190161	81.49389959
83	4	82.46184128	82.49384285
84	5	83.46178237	83.49378744
85	4	84.46172484	84.49373333
86	9	85.46166863	85.49368046
87	4	86.4616137	86.4936288
88	4	87.46156	87.49357829
89	3	88.4615075	88.49352892
90	7	89.46145616	89.49348062
91	9	90.46140593	90.49343339
92	9	91.46135679	91.49338716
93	4	92.46130869	92.49334193
94	6	93.46126161	93.49329764
95	9	94.46121551	94.49325429
96	4	95.46117036	95.49321182
97	4	96.46112613	96.49317023
98	2	97.4610828	97.49312947
99	4	98.46104034	98.49308954
100	7	99.46099872	99.49305039
101	5	100.4609579	100.493012
102	5	101.4609179	101.4929744
103	6	102.4608787	102.4929375
104	3	103.4608402	103.4929013
105	4	104.4608024	104.4928658
106	8	105.4607654	105.4928309
107	2	106.460729	106.4927967
108	4	107.4606933	107.4927631
109	2	108.4606582	108.4927302
110	2	109.4606238	109.4926978
111	3	110.46059	110.492666
112	5	111.4605568	111.4926348
113	3	112.4605242	112.4926041
114	3	113.4604921	113.4925739
115	6	114.4604606	114.4925443
116	2	115.4604297	115.4925152
117	4	116.4603992	116.4924866
118	4	117.4603693	117.4924584
119	2	118.4603399	118.4924307
120	6	119.460311	119.4924035
121	3	120.4602825	120.4923768
122	3	121.4602545	121.4923504
123	1	122.460227	122.4923245
124	4	123.4601999	123.492299
125	2	124.4601732	124.4922739
126	5	125.4601469	125.4922493
127	2	126.4601211	126.4922249
128	4	127.4600956	127.492201
129	3	128.4600706	128.4921775
130	1	129.4600459	129.4921543
131	3	130.4600216	130.4921314
132	7	131.4599977	131.4921089
133	3	132.4599741	132.4920867
134	1	133.4599509	133.4920649
135	3	134.459928	134.4920434
137	1	136.4598833	136.4920013
138	6	137.4598614	137.4919807
139	2	138.4598398	138.4919604
140	2	139.4598185	139.4919404
141	1	140.4597976	140.4919206
143	4	142.4597565	142.491882
144	1	143.4597364	143.4918631
145	3	144.4597165	144.4918444
146	2	145.459697	145.491826
147	1	146.4596777	146.4918079
148	2	147.4596586	147.49179
149	3	148.4596398	148.4917723
150	1	149.4596213	149.4917549
151	2	150.459603	150.4917376
152	1	151.4595849	151.4917207
153	1	152.4595671	152.4917039
154	1	153.4595495	153.4916874
156	2	155.459515	155.4916549
157	4	156.4594981	156.491639
158	4	157.4594814	157.4916233
159	1	158.4594649	158.4916077
161	4	160.4594325	160.4915773
162	5	161.4594166	161.4915623
163	4	162.4594008	162.4915475
164	3	163.4593853	163.4915329
166	3	165.4593549	165.4915043
168	1	167.4593251	167.4914763
170	2	169.459296	169.491449
171	4	170.4592818	170.4914355
172	2	171.4592677	171.4914223
173	1	172.4592537	172.4914092
174	2	173.4592399	173.4913962
175	2	174.4592263	174.4913834
176	2	175.4592128	175.4913707
177	3	176.4591995	176.4913582
178	3	177.4591863	177.4913458
179	3	178.4591733	178.4913335
181	2	180.4591477	180.4913094
184	1	183.4591103	183.4912742
185	1	184.4590981	184.4912628
186	2	185.459086	185.4912514
187	3	186.4590741	186.4912402
188	2	187.4590622	187.4912291
189	3	188.4590506	188.4912181
191	3	190.4590275	190.4911964
192	2	191.4590162	191.4911858
193	2	192.459005	192.4911752
194	1	193.4589939	193.4911648
195	1	194.4589829	194.4911545
196	2	195.4589721	195.4911442
197	2	196.4589613	196.4911341
198	2	197.4589506	197.4911241
199	1	198.4589401	198.4911142
200	1	199.4589297	199.4911044
201	3	200.4589193	200.4910946
202	1	201.4589091	201.491085
203	3	202.4588989	202.4910755
205	4	204.458879	204.4910567
206	3	205.4588691	205.4910474
207	2	206.4588594	206.4910383
208	1	207.4588497	207.4910292
209	2	208.4588402	208.4910202
211	2	210.4588213	210.4910025
212	2	211.458812	211.4909937
213	1	212.4588028	212.4909851
214	1	213.4587937	213.4909765
215	5	214.4587846	214.490968
216	3	215.4587757	215.4909596
217	2	216.4587668	216.4909512
218	3	217.458758	217.4909429
220	2	219.4587407	219.4909266
223	2	222.4587153	222.4909027
224	1	223.4587069	223.4908949
225	1	224.4586987	224.4908871
229	2	228.4586664	228.4908567
230	1	229.4586585	229.4908493
232	2	231.4586429	231.4908347
233	1	232.4586352	232.4908274
234	2	233.4586276	233.4908202
235	1	234.45862	234.4908131
236	1	235.4586125	235.4908061
237	1	236.4586051	236.4907991
238	2	237.4585977	237.4907921
240	1	239.4585831	239.4907784
243	2	242.4585617	242.4907583
244	1	243.4585547	243.4907517
246	3	245.4585408	245.4907386
247	1	246.458534	246.4907322
248	1	247.4585272	247.4907258
250	1	249.4585137	249.4907132
252	1	251.4585005	251.4907008
253	1	252.458494	252.4906946
