Stimulus type PhonemeLength
nia nonword 3
ēhi nonword 3
eho nonword 3
uke nonword 3
eha nonword 3
ipi nonword 3
ino nonword 3
ōtu nonword 3
āwi nonword 3
iko nonword 3
īre nonword 3
uko nonword 3
amu nonword 3
ōnu nonword 3
ungi nonword 3
omi nonword 3
eko nonword 3
iru nonword 3
une nonword 3
uro nonword 3
ingi nonword 3
awi nonword 3
awha nonword 3
engi nonword 3
enu nonword 3
ema nonword 3
ngoa nonword 3
uti nonword 3
ōto nonword 3
rao nonword 3
ōte nonword 3
upe nonword 3
opo nonword 3
eto nonword 3
ikū nonword 3
apei nonword 4
ātaa nonword 4
kenga nonword 4
tota nonword 4
tuwhe nonword 4
whāhu nonword 4
wuri nonword 4
āpei nonword 4
eina nonword 4
engae nonword 4
humo nonword 4
reru nonword 4
upai nonword 4
whehu nonword 4
āiha nonword 4
māwi nonword 4
nopo nonword 4
nuhi nonword 4
onae nonword 4
heni nonword 4
kōua nonword 4
kupō nonword 4
ngāmi nonword 4
nōro nonword 4
āraa nonword 4
ario nonword 4
ekua nonword 4
hōke nonword 4
ieri nonword 4
oiho nonword 4
nguta nonword 4
rangu nonword 4
hunge nonword 4
itie nonword 4
pūno nonword 4
rati nonword 4
rupa nonword 4
whani nonword 4
awai nonword 4
hangū nonword 4
ātāa nonword 4
rupo nonword 4
tiwhi nonword 4
nito nonword 4
whaha nonword 4
tiwi nonword 4
ērai nonword 4
whuri nonword 4
aoha nonword 4
ikau nonword 4
owai nonword 4
pamā nonword 4
awhai nonword 4
ewea nonword 4
rungu nonword 4
uangō nonword 4
emoe nonword 4
harō nonword 4
hūpe nonword 4
ānoa nonword 4
ikou nonword 4
kūro nonword 4
nehi nonword 4
ohae nonword 4
āika nonword 4
aoku nonword 4
peki nonword 4
ekoa nonword 4
imoa nonword 4
pote nonword 4
whawhā nonword 4
whakī nonword 4
rumo nonword 4
hūku nonword 4
inou nonword 4
kawha nonword 4
rowa nonword 4
pewe nonword 4
īrea nonword 4
īwai nonword 4
mōha nonword 4
nuti nonword 4
oumi nonword 4
tīpo nonword 4
auwa nonword 4
mero nonword 4
pīngi nonword 4
reoā nonword 4
tuei nonword 4
aiwhā nonword 4
pāwhi nonword 4
rume nonword 4
temi nonword 4
eiti nonword 4
mungi nonword 4
iuti nonword 4
opui nonword 4
eangi nonword 4
tikū nonword 4
āuna nonword 4
īwea nonword 4
ēnia nonword 4
hupū nonword 4
pīhu nonword 4
aehi nonword 4
haeo nonword 4
oera nonword 4
ōwhia nonword 4
wamu nonword 4
hewe nonword 4
whengo nonword 4
orae nonword 4
nema nonword 4
ēkia nonword 4
uhai nonword 4
pūwhi nonword 4
tītā nonword 4
wura nonword 4
wheto nonword 4
īhua nonword 4
hingi nonword 4
uahā nonword 4
aiku nonword 4
uiua nonword 4
unio nonword 4
hāno nonword 4
uihe nonword 4
kitō nonword 4
tīpe nonword 4
ūrei nonword 4
nure nonword 4
ounga nonword 4
mōnga nonword 4
aipo nonword 4
oniu nonword 4
ngehi nonword 4
eaha nonword 4
ātipu nonword 5
itenga nonword 5
kutiū nonword 5
pāuki nonword 5
ungata nonword 5
ūruka nonword 5
āpōtā nonword 5
moapi nonword 5
wehao nonword 5
angene nonword 5
hiamu nonword 5
naipu nonword 5
uwhāre nonword 5
ateke nonword 5
ioito nonword 5
ōmuka nonword 5
ōrunga nonword 5
uawae nonword 5
whataī nonword 5
whihia nonword 5
āwita nonword 5
omane nonword 5
teapo nonword 5
oneki nonword 5
pūtio nonword 5
ūkehi nonword 5
eruri nonword 5
ihema nonword 5
natoi nonword 5
eomio nonword 5
uangau nonword 5
ukipa nonword 5
āwhangi nonword 5
ungare nonword 5
ēturi nonword 5
makei nonword 5
noane nonword 5
ītaro nonword 5
unati nonword 5
upine nonword 5
āmeki nonword 5
umeta nonword 5
itera nonword 5
ōpuke nonword 5
pukau nonword 5
ipoua nonword 5
taetū nonword 5
iwiti nonword 5
tiroā nonword 5
arane nonword 5
apīka nonword 5
kawaa nonword 5
tāuea nonword 5
arima nonword 5
īmore nonword 5
inaui nonword 5
ngaena nonword 5
tōtui nonword 5
peopu nonword 5
puora nonword 5
touki nonword 5
otāwha nonword 5
amoku nonword 5
atono nonword 5
etapā nonword 5
ihiri nonword 5
tīahu nonword 5
irawi nonword 5
noeke nonword 5
ōmiko nonword 5
āhangu nonword 5
atitā nonword 5
kōnoi nonword 5
anaio nonword 5
ātame nonword 5
iroma nonword 5
ītahu nonword 5
ōngare nonword 5
wereu nonword 5
onera nonword 5
iruki nonword 5
haroā nonword 5
awhiwhi nonword 5
arāwha nonword 5
epura nonword 5
iwetu nonword 5
ahete nonword 5
akōhi nonword 5
ātiwha nonword 5
mihea nonword 5
tīwhea nonword 5
ukotu nonword 5
kunio nonword 5
rahue nonword 5
ohuna nonword 5
ōhaku nonword 5
ūtiti nonword 5
kowea nonword 5
teawe nonword 5
akipī nonword 5
huengi nonword 5
ūreru nonword 5
rouho nonword 5
ewata nonword 5
iritō nonword 5
ōtangu nonword 5
howaka nonword 6
pahapā nonword 6
rākīha nonword 6
rīnete nonword 6
tīnoka nonword 6
aringei nonword 6
ikeika nonword 6
kokōmā nonword 6
patowhi nonword 6
whaearā nonword 6
eētangi nonword 6
mupati nonword 6
nōitia nonword 6
riaenu nonword 6
tingāhi nonword 6
huhengo nonword 6
huwhitu nonword 6
meahua nonword 6
tārongō nonword 6
āparue nonword 6
oirawhi nonword 6
hōmotu nonword 6
ianeke nonword 6
ngapoto nonword 6
rīwhake nonword 6
minuru nonword 6
tapopa nonword 6
āungina nonword 6
ehūtua nonword 6
tēpeha nonword 6
tetohe nonword 6
apawhai nonword 6
kūwhati nonword 6
ungengai nonword 6
aroaoe nonword 6
pūrawha nonword 6
wahangē nonword 6
tehingo nonword 6
kowaro nonword 6
rapuko nonword 6
nikahū nonword 6
pākīngi nonword 6
pikeko nonword 6
whēretā nonword 6
aniuro nonword 6
kuunia nonword 6
mitupe nonword 6
tatūhe nonword 6
tuanue nonword 6
whitoea nonword 6
iotīto nonword 6
pahūngo nonword 6
ruwihi nonword 6
tīrime nonword 6
atuoha nonword 6
inahii nonword 6
iriomo nonword 6
ngawike nonword 6
ōkauhe nonword 6
tāhuma nonword 6
whāmāti nonword 6
kakawhu nonword 6
pūkēra nonword 6
tīmire nonword 6
ukuhie nonword 6
whatāiē nonword 6
kūremi nonword 6
okutoe nonword 6
pēhikē nonword 6
rekūko nonword 6
huteho nonword 6
ūreino nonword 6
amianga nonword 6
oerono nonword 6
whetuwhi nonword 6
hūkarū nonword 6
oimaoa nonword 6
āuiaro nonword 6
kāwiku nonword 6
whoahai nonword 6
orokaū nonword 6
enuwhai nonword 6
kumukū nonword 6
uahangā nonword 6
ākauhī nonword 6
kōaiwhā nonword 6
otoena nonword 6
pūmimu nonword 6
riwiau nonword 6
rōpūnga nonword 6
toketi nonword 6
wamuni nonword 6
wawhāti nonword 6
whāngaki nonword 6
poraki nonword 6
tūhetē nonword 6
ūnoria nonword 6
aiterō nonword 6
apenaā nonword 6
hepiti nonword 6
kōwātu nonword 6
ruaeru nonword 6
wetongū nonword 6
ōpiake nonword 6
tātawhī nonword 6
angiuki nonword 6
mokowha nonword 6
nākimu nonword 6
hūripō nonword 6
nūmake nonword 6
tikōha nonword 6
oekeku nonword 6
wēhiru nonword 6
ikaimō nonword 6
aukūko nonword 6
pīpakā nonword 6
powhihe nonword 6
hupuwa nonword 6
rārangū nonword 6
roueko nonword 6
tarōngo nonword 6
pāeama nonword 6
rehāne nonword 6
āhouwha nonword 6
kiuapū nonword 6
oroakā nonword 6
eoronge nonword 6
hepaua nonword 6
kāwherū nonword 6
kawīwa nonword 6
ngerino nonword 6
ngirāri nonword 6
titapa nonword 6
uenari nonword 6
ainoea nonword 6
anooko nonword 6
apēhia nonword 6
awhiwia nonword 6
haoawhi nonword 6
okōihi nonword 6
tīpuhi nonword 6
uatangī nonword 6
eīhaki nonword 6
hīnika nonword 6
mangingō nonword 6
neetia nonword 6
rapeia nonword 6
āuwhita nonword 6
hōngire nonword 6
whākāwe nonword 6
aerūre nonword 6
āwhiuke nonword 6
ouania nonword 6
pūhūra nonword 6
whēkama nonword 6
uarewi nonword 6
hōpukī nonword 6
kētuna nonword 6
koukae nonword 6
ipinua nonword 6
ngawheru nonword 6
mopuna nonword 6
peningi nonword 6
tihongū nonword 6
uekehe nonword 6
oehaki nonword 6
ākeheu nonword 6
ānoere nonword 6
ewaetā nonword 6
hariwhō nonword 6
kingeki nonword 6
mārowā nonword 6
niwamu nonword 6
tetoua nonword 6
horetī nonword 6
ngorihē nonword 6
tauīhe nonword 6
teaori nonword 6
tewane nonword 6
harengū nonword 6
iuraue nonword 6
mārōko nonword 6
ngerakū nonword 6
ninemi nonword 6
wurero nonword 6
kihōhe nonword 6
noemua nonword 6
pupāoa nonword 6
touoka nonword 6
umirui nonword 6
iniata nonword 6
onewau nonword 6
māorua nonword 6
tākapī nonword 6
iungaka nonword 6
rūtimo nonword 6
kingiro nonword 6
uroawi nonword 6
ungehau nonword 6
airūru nonword 6
niwhakī nonword 6
ramirū nonword 6
pamīta nonword 6
tōmemi nonword 6
apetirū nonword 7
hoihoko nonword 7
ohohukū nonword 7
huimino nonword 7
paowhāha nonword 7
pihaekā nonword 7
poahāhu nonword 7
utiawhao nonword 7
akehīra nonword 7
āutiwhiu nonword 7
ukukewhe nonword 7
oroamie nonword 7
kongeana nonword 7
pikāupu nonword 7
iharuwhā nonword 7
initōru nonword 7
nguharie nonword 7
tueriwi nonword 7
opekena nonword 7
opopiti nonword 7
waemura nonword 7
mōkemae nonword 7
pakiwāi nonword 7
īhakaiē nonword 7
opapoko nonword 7
ātakeue nonword 7
hāiwhata nonword 7
hemeona nonword 7
